ID	DJ	GIC31	RW1	RW2	Rleg
phrog_2765	1	1	0	1	0
phrog_28	1	0	0	0	0
phrog_2825	0	0	0	1	0
phrog_2835	1	0	0	0	1
phrog_28877	1	0	0	0	1
phrog_289	0	0	0	0	1
phrog_2890	1	1	0	1	1
phrog_291	0	0	0	0	1
phrog_293	1	1	1	1	1
phrog_296	1	0	0	0	0
phrog_29662	1	0	0	0	0
phrog_2967	1	0	0	0	0
phrog_3	1	1	0	1	1
phrog_30252	0	0	0	0	1
phrog_30585	0	0	0	0	1
phrog_3066	1	0	0	0	0
phrog_3125	1	1	0	1	0
phrog_3139	1	1	0	1	1
phrog_3142	1	1	1	1	1
phrog_316	1	1	0	1	1
phrog_318	0	0	0	0	1
phrog_3188	1	1	0	1	1
phrog_32468	0	1	0	1	1
phrog_325	1	0	0	1	1
phrog_3264	1	1	0	1	1
phrog_327	1	0	0	0	0
phrog_3277	0	0	0	0	1
phrog_3282	1	0	0	0	1
phrog_329	1	1	0	1	1
phrog_3301	1	1	0	1	0
phrog_3333	1	0	0	1	1
phrog_3341	1	1	0	1	1
phrog_3347	1	0	0	0	0
phrog_3382	0	1	0	1	1
phrog_3408	1	0	0	0	1
phrog_3427	1	0	0	0	0
phrog_3445	1	0	0	0	1
phrog_3485	0	0	0	0	1
phrog_34906	1	1	0	1	1
phrog_351	1	1	0	1	1
phrog_3513	1	0	0	0	0
phrog_35497	0	1	0	0	0
phrog_3551	1	1	0	1	1
phrog_35646	0	1	0	1	0
phrog_3598	1	0	0	0	0
phrog_36270	0	1	0	1	0
phrog_363	0	0	0	0	1
phrog_3636	1	1	0	1	1
phrog_3677	1	1	1	1	1
phrog_36784	1	0	0	0	1
phrog_375	0	0	0	0	1
phrog_3767	1	0	0	0	0
phrog_379	1	1	0	1	1
phrog_380	1	0	0	0	1
phrog_3810	0	1	0	1	1
phrog_38161	1	0	0	0	0
phrog_38199	1	0	0	0	0
phrog_382	1	1	0	1	1
phrog_3820	0	0	0	0	1
phrog_38620	1	0	0	0	0
phrog_3869	1	1	0	1	1
phrog_392	0	1	0	1	1
phrog_4	1	1	0	1	1
phrog_400	0	1	0	1	0
phrog_403	0	1	0	1	0
phrog_405	1	1	0	1	1
phrog_4191	0	0	0	1	0
phrog_420	0	1	0	1	0
phrog_4226	1	0	0	0	0
phrog_424	1	1	0	1	1
phrog_4268	1	0	0	0	0
phrog_43	1	0	0	0	0
phrog_432	1	1	0	1	1
phrog_434	0	0	1	0	0
phrog_435	1	1	0	1	1
phrog_4399	1	0	0	0	0
phrog_44	1	1	0	1	1
phrog_440	1	1	0	1	1
phrog_4412	1	1	0	1	1
phrog_4470	0	0	0	0	1
phrog_4478	0	1	0	1	0
phrog_448	1	1	0	1	1
phrog_46	1	0	0	0	0
phrog_4606	0	0	0	0	1
phrog_4617	0	0	0	1	0
phrog_4646	0	1	0	0	1
phrog_4681	0	1	0	1	0
phrog_4692	1	0	0	0	1
phrog_4715	0	1	0	1	1
phrog_4716	1	0	0	0	1
phrog_472	0	0	1	0	0
phrog_4752	1	1	0	1	1
phrog_477	0	0	0	0	1
phrog_4771	0	1	0	1	0
phrog_4775	0	1	0	1	0
phrog_48	1	0	0	0	0
phrog_4856	0	0	0	0	1
phrog_487	1	1	0	1	0
phrog_4871	1	1	0	1	1
phrog_4873	0	0	0	0	1
phrog_489	0	1	0	1	0
phrog_4901	1	1	0	1	1
phrog_491	1	0	0	0	0
phrog_4941	1	0	0	0	1
phrog_50	1	1	0	1	1
phrog_5045	1	1	0	1	1
phrog_506	1	1	0	1	0
phrog_510	0	0	0	0	1
phrog_515	0	0	0	0	1
phrog_52	1	0	0	0	0
phrog_5232	0	0	0	0	1
phrog_524	1	0	0	0	0
phrog_53	1	0	0	0	1
phrog_5304	1	1	0	1	1
phrog_531	1	0	0	1	1
phrog_5385	1	1	0	1	0
phrog_54	1	1	0	1	1
phrog_540	1	1	1	1	1
phrog_543	1	1	0	1	1
phrog_547	0	0	0	0	1
phrog_5470	0	0	0	0	1
phrog_55	1	0	0	0	0
phrog_551	1	1	0	1	1
phrog_5529	1	0	0	0	0
phrog_5725	1	1	0	1	1
phrog_5749	1	1	0	0	1
phrog_5751	1	0	0	0	0
phrog_577	0	0	0	0	1
phrog_5817	1	0	0	0	0
phrog_582	0	1	0	1	0
phrog_5823	0	0	0	0	1
phrog_5846	1	1	1	1	1
phrog_589	0	0	0	0	1
phrog_5890	0	1	0	1	0
phrog_5909	1	0	0	0	0
phrog_592	0	1	1	1	1
phrog_5934	1	1	0	1	1
phrog_5949	1	1	0	1	1
phrog_603	1	0	0	0	0
phrog_61	1	0	0	0	0
phrog_6102	1	0	0	0	1
phrog_6121	0	0	0	0	1
phrog_619	1	1	1	1	1
phrog_62	1	0	0	0	0
phrog_6215	0	1	0	1	0
phrog_623	0	0	0	0	1
phrog_626	0	1	0	1	0
phrog_632	0	0	0	0	1
