ID	Function
GVOGm0003	NCLDV major capsid protein
GVOGm0020	DEAD/SNF2-like helicase | DEAD-like helicases superfamily | unclassified DEAD/SNF2-like helicases
GVOGm0004	disulfide (thiol) oxidoreductase, Erv1 / Alr family
GVOGm0022	DNA-directed RNA polymerase subunit beta
GVOGm0099	uncharacterized protein
GVOGm0239	Proliferating cell nuclear antigen
GVOGm0054	DNA polymerase elongation subunit family B
GVOGm0047	Thioredoxin
GVOGm0760	packaging ATPase
GVOGm0013	DEAD/SNF2-like helicase | DNA or RNA helicases of superfamily II | superfamily II helicase
GVOGm0101	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein | ankyrin repeat protein | hypothetical protein, similar to ankyrin | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein
GVOGm0023	DNA-directed RNA polymerase subunit alpha
GVOGm0160	SWIB/MDM2 domain-containing protein
GVOGm0018	Patatin phospholipase
GVOGm0095	D5-like helicase-primase
GVOGm0214	Ubiquitin carboxyl-terminal hydrolase
GVOGm0461	DNA topoisomerase II
GVOGm1574	Ribonucleotide reductase small subunit | ribonucleoside diphosphate reductase, beta subunit
GVOGm0172	putative transcription initiation factor IIB | transcription initiation factor IIB
GVOGm0015	uncharacterized protein
GVOGm0056	TATA box binding protein (TBP)
GVOGm0088	ribonucleoside diphosphate reductase, alpha subunit
GVOGm0129	uncharacterized protein
GVOGm0787	metallopeptidase WLM
GVOGm0152	uncharacterized protein
GVOGm0073	uncharacterized protein
GVOGm0263	uncharacterized protein
GVOGm0014	A1L transcription factor/late transcription factor VLTF-2
GVOGm0028	uncharacterized protein
GVOGm0183	short chain dehydrogenase
GVOGm0001	XRN 5'-3' exonuclease
GVOGm0031	YqaJ viral recombinase
GVOGm0041	uncharacterized protein
GVOGm0021	uncharacterized protein
GVOGm0189	RuvC, Holliday junction resolvases (HJRs); Poxvirus A22 family
GVOGm0798	Ribonuclease III
GVOGm0083	Nudix hydrolase (D10 ortholog)
GVOGm0036	mRNA capping enzyme N-terminal, ATPase and guanylyltransferase | mRNA capping enzyme large subunit, methyltransferase domain
GVOGm0471	DNA directed RNA polymerase subunit L
GVOGm0173	Transcription factor S-II (TFIIS)
GVOGm0115	uncharacterized, C-terminal domain conserved in irido, asco, phycodna, mimi
GVOGm0218	
GVOGm0027	RNA polymerase subunit 6
GVOGm0048	uncharacterized protein
GVOGm0215	AAA+ ATPase
GVOGm0086	Ulp1 protease
GVOGm0059	uncharacterized protein
GVOGm0106	uncharacterized protein | uncharacterized protein
GVOGm0051	dUTPase
GVOGm0074	DNA mismatch repair protein
