Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	InterProScan_pro-ORF_count	InterProScan_pro-Annotated	InterProScan_pro-Hypothetical	InterProScan_pro-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus_fgs-ORF_count	Metacerberus_fgs-Annotated	Metacerberus_fgs-Hypothetical	Metacerberus_fgs-Unknown	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
SAMN03319457	979.0	652.0	0.0	327.0	8.0	7.0	0.0	1.0	785.0	701.0	1.0	83.0	997.0	694.0	303.0	0.0					1005.0	49.0	956.0	0.0
SAMN03319513	1037.0	657.0	1.0	379.0	363.0	328.0	0.0	35.0	834.0	737.0	1.0	96.0	1078.0	725.0	353.0	0.0					1004.0	26.0	978.0	0.0
SAMN03319521	280.0	217.0	0.0	63.0	133.0	131.0	0.0	2.0	247.0	238.0	0.0	9.0	289.0	235.0	54.0	0.0	286.0	227.0	59.0	0.0	271.0	16.0	255.0	0.0
SAMN03319534	934.0	632.0	1.0	301.0	380.0	345.0	1.0	34.0	788.0	706.0	1.0	81.0	971.0	696.0	275.0	0.0					920.0	42.0	878.0	0.0
SAMN03319566	246.0	185.0	0.0	61.0	55.0	50.0	0.0	5.0	216.0	197.0	0.0	19.0	256.0	199.0	57.0	0.0					253.0	5.0	248.0	0.0
SAMN03319567	689.0	502.0	0.0	187.0	84.0	78.0	0.0	6.0	587.0	545.0	0.0	42.0	709.0	553.0	156.0	0.0	721.0	529.0	192.0	0.0	732.0	60.0	672.0	0.0
SAMN03319622	827.0	527.0	2.0	298.0	223.0	206.0	0.0	17.0	636.0	582.0	1.0	53.0	839.0	580.0	259.0	0.0	826.0	560.0	266.0	0.0	820.0	45.0	775.0	0.0
SAMN03319633	1380.0	916.0	0.0	464.0	305.0	273.0	0.0	32.0	1103.0	1021.0	0.0	82.0	1406.0	997.0	409.0	0.0					1358.0	37.0	1321.0	0.0
SAMN03319635	800.0	504.0	1.0	295.0	104.0	98.0	0.0	6.0	643.0	587.0	2.0	54.0	807.0	573.0	234.0	0.0	813.0	541.0	272.0	0.0	814.0	49.0	765.0	0.0
SAMN03319688	1512.0	986.0	0.0	526.0	355.0	326.0	0.0	29.0	1212.0	1104.0	0.0	108.0	1562.0	1076.0	486.0	0.0	1561.0	1039.0	522.0	0.0	1521.0	42.0	1479.0	0.0
SAMN03319702	1645.0	1119.0	3.0	523.0	158.0	137.0	1.0	20.0	1389.0	1262.0	2.0	125.0	1699.0	1230.0	469.0	0.0					1693.0	51.0	1642.0	0.0
SAMN03319760	1160.0	663.0	0.0	497.0	151.0	135.0	0.0	16.0	848.0	738.0	0.0	110.0	1194.0	742.0	452.0	0.0					1192.0	50.0	1142.0	0.0
SAMN03319761	941.0	576.0	0.0	365.0	39.0	36.0	0.0	3.0	714.0	627.0	2.0	85.0	941.0	635.0	306.0	0.0	983.0	639.0	344.0	0.0	950.0	55.0	895.0	0.0
SAMN03319766	657.0	444.0	1.0	212.0	289.0	262.0	0.0	27.0	567.0	522.0	0.0	45.0	684.0	501.0	183.0	0.0					644.0	15.0	629.0	0.0
SAMN03319775	335.0	237.0	0.0	98.0	155.0	141.0	0.0	14.0	286.0	264.0	0.0	22.0	347.0	252.0	95.0	0.0					330.0	23.0	307.0	0.0
SAMN03319798	1108.0	612.0	0.0	496.0	377.0	338.0	0.0	39.0	788.0	700.0	1.0	87.0	1130.0	688.0	442.0	0.0					1081.0	47.0	1034.0	0.0
SAMN03319814	772.0	463.0	0.0	309.0	340.0	299.0	0.0	41.0	588.0	544.0	1.0	43.0	811.0	546.0	265.0	0.0	789.0	517.0	272.0	0.0	734.0	36.0	698.0	0.0
SAMN03319872	716.0	443.0	0.0	273.0	338.0	307.0	1.0	30.0	568.0	517.0	1.0	50.0	739.0	509.0	230.0	0.0	722.0	482.0	240.0	0.0	693.0	45.0	648.0	0.0
SAMN03319891	462.0	292.0	0.0	170.0	258.0	231.0	0.0	27.0	374.0	337.0	0.0	37.0	489.0	323.0	166.0	0.0					449.0	23.0	426.0	0.0
SAMN03319918	1016.0	593.0	2.0	421.0	300.0	268.0	0.0	32.0	769.0	674.0	1.0	94.0	1078.0	665.0	413.0	0.0	1037.0	622.0	415.0	0.0	1006.0	38.0	968.0	0.0
SAMN03319922	1063.0	668.0	2.0	393.0	103.0	93.0	0.0	10.0	855.0	774.0	2.0	79.0	1114.0	768.0	346.0	0.0					1107.0	51.0	1056.0	0.0
SAMN03319930	867.0	566.0	0.0	301.0	254.0	230.0	0.0	24.0	714.0	653.0	1.0	60.0	896.0	637.0	259.0	0.0	863.0	595.0	268.0	0.0	874.0	42.0	832.0	0.0
SAMN03319942	821.0	553.0	1.0	267.0	320.0	285.0	0.0	35.0	679.0	629.0	0.0	50.0	847.0	622.0	225.0	0.0	798.0	555.0	243.0	0.0	796.0	42.0	754.0	0.0
SAMN03319950	1070.0	654.0	0.0	416.0	214.0	205.0	0.0	9.0	799.0	713.0	1.0	85.0	1110.0	718.0	392.0	0.0					1091.0	58.0	1033.0	0.0
SAMN03319958	616.0	434.0	0.0	182.0	204.0	182.0	0.0	22.0	530.0	496.0	2.0	32.0	635.0	484.0	151.0	0.0					609.0	25.0	584.0	0.0
SAMN03319979	1157.0	356.0	0.0	801.0	274.0	210.0	1.0	63.0	567.0	403.0	1.0	163.0	1195.0	469.0	726.0	0.0	1104.0	449.0	655.0	0.0	1105.0	25.0	1080.0	0.0
SAMN03319988	580.0	406.0	1.0	173.0	6.0	6.0	0.0	0.0	479.0	442.0	0.0	37.0	594.0	418.0	176.0	0.0	617.0	406.0	211.0	0.0	620.0	57.0	563.0	0.0
SAMN04313689	593.0	424.0	1.0	168.0	52.0	46.0	0.0	6.0	539.0	492.0	0.0	47.0	657.0	491.0	166.0	0.0	660.0	471.0	189.0	0.0	613.0	52.0	561.0	0.0
SAMN04313692	922.0	585.0	1.0	336.0	222.0	204.0	0.0	18.0	895.0	774.0	0.0	121.0	1185.0	775.0	410.0	0.0	1123.0	738.0	385.0	0.0	860.0	41.0	819.0	0.0
SAMN04313735	1431.0	894.0	1.0	536.0	514.0	445.0	2.0	67.0	1285.0	1150.0	2.0	133.0	1704.0	1135.0	569.0	0.0					1349.0	39.0	1310.0	0.0
