ID	GIC31_complete	JQGI01_HUD	RW2_complete	S17	SH31	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217
K01475	0	1	0	0	0	0	0	0	0	0
K01476	1	1	1	1	1	1	1	1	1	1
K01478	1	1	1	1	1	0	0	0	0	1
K01480	1	1	1	1	1	1	1	1	1	1
K01483	0	0	0	0	0	1	1	1	1	1
K01485	0	1	0	0	0	1	1	1	1	1
K01486	1	1	1	1	1	1	1	1	1	1
K01487	0	0	0	0	0	1	1	1	1	1
K01488	0	0	0	0	0	1	0	1	0	0
K01489	1	1	1	1	1	1	1	1	1	1
K01491	1	1	1	1	1	1	1	1	1	1
K01493	1	1	1	1	1	1	0	0	0	0
K01494	0	0	0	1	0	1	1	1	1	1
K01495	0	0	0	0	0	1	1	1	1	1
K01496	0	0	0	0	0	1	1	1	1	1
K01497	0	1	0	0	0	0	0	0	0	0
K01501	0	1	0	0	0	1	1	1	1	1
K01507	0	1	0	0	0	1	1	1	1	1
K01512	1	1	1	1	1	1	1	1	1	1
K01515	1	1	1	1	1	0	0	0	0	0
K01517	0	0	0	0	0	0	0	1	1	1
K01519	1	1	1	1	1	1	1	1	1	1
K01520	0	1	0	0	0	1	1	1	1	1
K01523	1	1	1	1	1	1	1	1	1	1
K01524	1	1	1	1	1	1	1	1	1	1
K01529	0	1	0	0	0	0	0	0	0	0
K01531	0	0	0	0	1	1	0	0	1	0
K01533	1	1	1	0	0	1	1	1	1	1
K01534	1	1	1	1	1	1	1	1	1	1
K01546	0	0	0	0	0	1	1	1	1	1
K01547	0	1	0	0	0	1	1	1	1	1
K01548	0	0	0	0	0	1	1	1	1	1
K01551	1	1	1	1	1	1	1	0	0	0
K01552	1	1	1	0	1	0	0	0	0	0
K01554	0	0	0	0	0	1	1	1	1	1
K01556	1	1	1	1	1	0	0	0	0	0
K01560	1	1	1	1	1	1	1	1	1	1
K01561	0	0	0	0	0	0	1	1	1	1
K01563	0	0	0	0	0	0	1	1	1	1
K01574	0	0	0	0	0	1	1	1	1	0
K01578	0	0	0	0	0	0	1	1	1	1
K01579	1	1	1	1	1	0	0	0	0	0
K01580	0	1	0	0	0	0	0	0	0	0
K01581	0	0	0	0	0	1	1	1	1	1
K01584	0	0	0	0	0	1	0	0	1	1
K01585	1	1	1	1	1	1	0	0	1	0
K01586	1	1	1	1	1	1	1	1	1	1
K01588	1	1	1	1	1	1	1	1	1	1
K01589	1	1	1	1	1	1	1	1	1	1
K01591	1	1	1	1	1	1	1	1	1	1
K01593	0	0	0	0	0	1	1	1	1	1
K01595	0	0	0	0	0	0	0	0	0	1
K01599	1	1	1	1	1	1	1	1	1	1
K01607	0	0	0	0	0	1	1	1	1	1
K01609	1	1	1	1	1	1	1	1	1	1
K01610	1	1	1	1	1	1	1	1	1	1
K01611	1	1	1	1	1	0	0	0	0	0
K01613	1	1	1	1	1	1	1	1	1	1
K01617	0	0	0	0	0	1	0	0	0	0
K01619	1	1	1	1	1	1	1	1	1	1
K01620	1	1	1	1	1	1	1	1	1	1
K01621	0	0	0	0	0	1	1	1	1	1
K01623	0	0	0	0	0	1	1	1	1	1
K01624	0	0	0	0	0	1	1	1	1	1
K01625	0	0	0	0	0	1	1	1	1	1
K01626	0	1	0	0	0	0	0	1	0	0
K01627	0	0	0	0	0	1	1	1	1	1
K01631	0	0	0	0	0	1	1	1	1	1
K01633	1	1	1	1	1	1	1	1	1	1
K01637	1	1	1	1	1	1	1	1	1	1
K01638	1	1	1	1	1	1	1	1	1	1
K01643	0	1	0	0	0	0	0	0	0	0
K01644	1	0	0	0	0	1	1	1	1	1
K01647	0	0	0	0	0	1	1	1	1	1
K01649	0	0	0	0	0	1	1	1	1	1
K01652	0	1	0	0	0	1	1	1	1	1
K01653	0	0	0	0	0	1	1	1	1	1
K01657	1	1	1	1	1	0	0	0	0	0
K01658	1	1	0	1	1	0	0	0	0	0
K01659	1	1	1	1	1	0	0	0	0	0
K01661	1	1	1	1	1	0	0	0	0	0
K01662	1	1	1	1	1	1	1	1	1	1
K01664	0	0	1	0	0	0	0	0	0	0
K01665	0	1	0	0	0	0	0	0	0	0
K01669	1	1	1	1	1	1	1	1	1	1
K01673	1	1	1	1	1	1	1	1	1	1
K01674	0	0	0	0	0	0	0	1	0	0
K01676	0	1	0	0	0	1	1	1	1	1
K01679	1	1	1	1	1	1	1	1	1	1
K01681	1	1	1	1	1	1	1	1	1	1
K01684	0	0	0	0	0	1	1	1	1	1
K01685	0	0	0	0	0	1	1	1	1	1
K01686	0	1	0	0	0	1	1	1	1	1
K01687	0	1	0	0	0	1	1	1	1	1
K01689	1	1	1	1	1	1	1	1	1	1
K01690	0	0	0	0	0	1	1	1	1	1
K01692	0	0	0	0	0	1	0	1	0	0
K01693	1	1	1	1	1	1	1	1	1	1
K01695	1	1	1	1	1	1	1	1	1	1
K01696	1	1	1	1	1	1	1	1	1	1
K01698	1	1	1	1	1	1	1	1	1	1
K01702	0	0	0	0	0	1	1	1	1	1
K01707	0	0	0	0	0	1	1	1	1	1
K01709	0	0	0	0	0	0	1	1	0	0
K01710	0	1	1	1	1	1	1	1	1	1
K01711	1	0	0	1	0	1	1	1	1	1
K01712	0	1	0	0	0	1	1	1	1	1
K01713	0	0	0	0	0	0	0	1	1	0
K01714	1	1	1	1	1	1	1	1	1	1
K01715	0	0	0	0	0	1	1	1	1	1
K01716	0	0	0	0	0	1	1	1	1	1
K01719	1	1	1	1	1	1	1	1	1	1
K01721	0	0	0	0	0	1	1	1	1	1
K01724	1	1	1	1	1	1	1	1	1	1
K01726	1	1	1	1	1	1	1	1	1	1
K01728	1	1	1	0	1	0	0	0	0	0
K01734	1	1	1	1	1	1	1	1	1	1
K01735	1	1	1	1	1	1	1	1	1	1
K01736	1	1	1	1	1	1	1	1	1	1
K01737	1	1	1	1	1	1	0	0	1	1
K01738	1	1	1	1	1	1	1	1	1	1
K01740	0	0	0	0	0	1	1	1	1	1
K01744	0	1	0	0	0	0	1	0	0	1
K01745	0	0	0	0	0	1	1	1	1	1
K01749	1	1	1	1	1	1	1	1	1	1
K01750	0	0	0	0	0	1	1	1	1	1
K01751	0	0	0	0	0	1	0	0	1	0
K01752	1	1	1	1	1	1	1	1	1	1
K01754	0	0	0	0	0	1	1	1	1	1
K01755	1	1	1	1	1	1	1	1	1	1
K01756	1	1	1	1	1	1	1	1	1	1
K01758	0	1	0	0	0	0	0	0	0	0
K01759	0	0	0	0	0	1	1	1	1	1
K01760	0	0	0	0	0	1	1	1	1	1
K01761	0	0	0	0	0	1	1	1	1	1
K01766	0	1	0	0	0	0	0	0	0	0
K01768	0	0	0	0	0	1	1	1	1	1
K01770	1	1	1	1	1	0	0	0	0	0
K01772	1	1	1	1	1	1	1	1	1	1
K01775	1	1	1	1	1	1	1	1	1	1
K01776	1	1	1	1	1	1	1	1	1	1
K01777	0	0	0	0	0	0	0	1	1	0
K01778	0	0	0	0	0	1	1	1	1	1
K01779	0	1	0	0	0	1	1	1	1	1
K01782	0	0	0	0	0	1	1	1	1	1
K01783	1	1	1	1	1	1	1	1	1	1
K01784	1	1	1	1	1	1	1	1	1	1
K01785	1	1	1	1	1	1	1	1	1	1
K01788	1	1	1	0	1	0	0	0	0	0
K01790	0	0	0	0	0	1	1	1	1	1
K01791	1	1	1	1	1	0	0	0	0	0
K01792	1	1	1	1	1	1	1	1	1	1
K01799	0	1	0	0	0	1	1	1	1	1
K01800	0	0	0	0	0	1	0	1	1	0
K01801	0	0	0	0	0	1	1	1	1	1
K01803	1	1	1	1	1	1	1	1	1	1
K01804	0	0	1	0	1	1	1	0	0	0
K01805	0	1	0	0	0	1	1	1	1	1
K01807	0	1	0	0	0	1	1	1	1	1
K01808	1	1	1	1	1	1	1	1	0	1
K01809	1	0	1	0	0	0	0	0	0	0
K01810	1	1	1	1	1	1	1	1	1	1
K01811	1	1	1	1	1	0	0	0	0	0
K01812	0	0	0	0	0	1	1	1	1	1
K01814	1	1	1	1	1	1	1	1	1	1
K01815	0	0	0	0	0	1	1	1	1	1
K01816	0	0	0	0	0	1	0	1	1	1
K01817	1	1	1	1	1	1	1	1	1	1
K01820	0	0	0	0	0	1	1	1	1	1
K01821	1	1	1	0	1	1	1	0	1	1
K01822	0	0	0	0	0	0	0	1	1	1
K01823	0	1	1	0	0	0	0	0	0	0
K01825	0	1	0	0	0	0	0	0	0	0
K01826	0	0	0	0	0	1	0	1	1	0
K01833	0	0	0	0	0	0	1	0	0	0
K01834	0	0	0	0	0	1	1	1	1	1
K01835	1	1	1	1	1	1	1	1	1	1
K01838	1	1	1	1	1	1	1	1	1	1
K01839	1	1	1	1	1	1	1	1	1	1
K01840	1	1	1	1	1	1	1	1	1	1
K01843	0	0	0	0	0	1	1	1	1	1
K01845	1	1	1	1	1	1	1	0	1	1
K01847	0	0	0	0	0	1	1	1	1	1
K01856	0	0	0	0	0	0	0	0	0	1
K01857	0	0	0	0	0	1	1	1	1	1
K01866	1	1	1	1	1	1	1	1	1	1
K01867	1	1	1	1	1	1	1	1	1	1
K01868	1	1	1	1	1	1	1	1	1	1
K01869	1	1	1	1	1	1	1	1	1	1
K01870	1	1	1	1	1	1	1	1	1	1
K01872	1	1	1	1	1	1	1	1	1	1
K01873	1	1	1	1	1	1	1	1	1	1
K01874	1	1	1	1	1	1	1	1	1	1
K01875	1	1	1	1	1	1	1	1	1	1
K01876	1	1	1	1	1	1	1	1	1	1
K01878	1	1	1	1	1	1	1	1	1	1
K01879	1	1	1	1	1	1	1	1	1	1
K01880	0	0	0	0	0	0	0	1	0	1
K01881	1	1	1	1	1	1	1	1	1	1
K01883	1	1	1	1	1	1	1	1	1	1
K01885	0	1	0	0	0	1	1	1	1	1
K01887	1	1	1	1	1	1	1	1	1	1
K01889	1	1	1	1	1	1	1	1	1	1
K01890	1	1	1	1	1	1	1	1	1	1
K01892	1	1	1	1	1	1	1	1	1	1
K01893	1	1	1	1	1	0	0	0	0	0
K01895	1	1	1	1	1	1	1	1	1	1
K01897	0	1	0	0	0	0	0	0	0	0
K01899	0	0	0	0	0	1	1	1	1	1
K01902	1	1	1	1	1	0	0	0	0	0
K01903	1	1	1	1	1	1	1	1	1	1
K01907	0	0	0	0	0	1	1	1	1	1
K01908	0	0	0	0	0	1	1	1	1	1
K01911	1	1	1	1	1	0	0	0	0	0
K01912	0	0	0	1	1	0	0	0	0	0
K01914	1	1	1	1	1	0	0	0	0	0
K01915	1	1	1	1	1	1	1	1	1	1
K01916	1	1	1	1	1	1	1	1	1	1
K01918	1	1	1	1	1	1	1	1	1	1
K01919	0	1	1	1	1	1	1	1	1	1
K01920	0	0	0	0	0	1	1	1	1	1
K01921	1	1	1	1	1	1	1	1	1	1
K01923	1	1	1	1	1	1	1	1	1	1
K01924	1	1	1	1	1	1	1	1	1	1
K01925	1	1	1	1	1	1	1	1	1	1
K01926	1	1	1	1	1	0	0	0	0	0
K01928	1	1	1	1	1	1	1	1	1	1
K01929	1	1	1	1	1	1	1	1	1	1
K01933	1	1	1	1	1	0	0	0	0	0
K01934	1	1	1	1	1	1	1	1	1	1
K01935	0	1	0	0	0	0	0	0	0	0
K01937	1	1	1	1	1	1	1	1	1	1
K01938	1	1	1	1	1	1	1	1	1	1
K01939	1	1	1	1	1	1	1	1	1	1
K01940	1	1	1	1	1	1	1	1	1	1
K01941	0	0	0	0	0	1	1	1	1	1
K01945	1	1	1	1	1	1	1	1	1	1
K01949	0	0	0	0	0	1	1	1	1	1
K01950	0	0	0	0	0	1	1	1	1	1
K01951	1	1	1	1	1	1	1	1	1	1
K01953	1	1	1	0	0	0	1	1	1	1
K01955	1	1	1	1	1	1	1	1	1	1
K01956	1	1	1	1	1	1	1	1	1	1
K01958	1	1	1	1	1	1	1	1	1	1
K01961	1	1	1	1	1	1	1	1	1	1
K01962	1	1	1	1	1	1	1	1	1	1
K01963	1	1	1	1	1	1	1	1	1	1
K01965	0	0	0	0	0	1	1	1	1	1
K01966	0	0	0	0	0	1	1	1	1	1
K01968	0	0	0	0	0	1	1	1	1	1
K01969	0	0	0	0	0	1	1	1	1	1
K01971	0	0	0	0	0	1	1	1	1	1
K01972	1	1	1	1	1	1	1	1	1	1
K01975	1	1	1	1	1	1	1	1	1	1
K01989	0	0	0	0	0	1	1	1	1	1
K01990	1	1	1	1	1	1	1	1	1	1
K01991	0	1	0	0	0	1	1	1	1	1
K01993	0	1	0	0	0	1	1	1	1	1
K01994	0	0	0	0	0	0	0	1	0	0
K01995	0	1	0	0	0	1	1	1	1	1
K01996	0	0	0	0	0	1	1	1	1	1
K01997	0	0	0	0	0	1	1	1	1	1
K01998	0	1	0	0	0	1	1	1	1	1
K01999	0	1	0	0	0	1	1	1	1	1
K02000	0	1	0	0	0	1	1	1	1	1
K02001	0	1	0	0	0	1	1	1	1	1
K02002	0	0	0	0	0	1	1	1	1	1
K02003	1	1	1	1	1	1	1	1	1	1
K02004	1	1	1	1	1	1	1	1	1	1
K02005	0	0	1	1	1	1	1	1	1	1
K02010	1	1	1	1	1	1	1	1	1	1
K02011	1	1	1	1	1	1	1	1	1	1
K02012	1	1	1	1	1	1	1	1	1	1
K02013	0	1	0	0	1	1	1	1	1	1
K02014	0	0	0	1	0	0	0	0	0	0
K02015	1	1	1	1	1	1	1	1	1	1
K02016	1	1	1	1	1	1	1	1	1	1
K02017	0	0	0	0	0	1	1	1	1	1
K02018	1	1	1	1	0	1	1	1	1	1
K02019	0	0	0	0	0	1	1	1	1	1
K02020	1	1	1	1	0	1	1	1	1	1
K02021	0	0	0	0	0	1	1	1	1	1
K02025	1	1	0	1	1	1	1	1	1	1
K02026	1	1	0	1	1	1	1	1	1	1
K02027	1	1	0	1	1	1	1	1	1	1
K02028	1	1	1	1	1	1	1	1	1	1
K02029	1	1	1	1	1	1	1	1	1	1
K02030	0	0	0	0	0	1	1	1	1	1
K02031	0	1	0	0	1	1	1	1	1	1
K02032	1	1	1	1	1	1	1	1	1	1
K02033	1	1	1	1	1	1	1	1	1	1
K02034	1	1	1	1	1	1	1	1	1	1
K02035	0	0	0	0	1	1	1	1	1	1
K02036	1	1	1	1	1	1	1	1	1	1
K02037	1	1	1	1	1	1	1	1	1	1
K02038	1	1	1	1	1	1	1	1	1	1
K02039	1	1	1	1	1	1	1	1	1	1
K02040	1	1	1	1	1	1	1	1	1	1
K02041	0	0	0	0	0	1	1	1	1	1
K02042	0	0	0	0	0	1	1	1	1	1
K02043	0	0	0	0	0	1	1	1	1	1
K02044	0	0	0	0	0	1	1	1	1	1
K02045	0	1	0	0	0	1	1	1	1	1
K02046	0	0	0	0	0	1	1	1	1	1
K02047	0	0	0	0	0	1	1	1	1	1
K02049	0	0	0	0	0	1	1	1	1	1
K02050	0	0	0	0	0	1	1	1	1	1
K02051	0	0	0	0	0	1	1	1	1	1
K02052	0	0	0	0	0	1	1	1	1	1
K02053	1	1	1	1	1	1	1	1	1	1
K02054	1	1	1	1	1	1	1	1	1	1
K02055	0	0	0	0	0	1	1	1	1	1
K02056	0	0	0	0	0	1	1	1	1	1
K02057	0	1	0	0	0	1	1	1	1	1
K02058	1	1	1	0	0	1	1	1	1	1
K02065	0	0	0	0	0	1	1	1	1	1
K02066	0	0	0	0	0	1	1	1	1	1
K02067	0	0	0	0	0	1	1	1	1	1
K02068	1	1	1	1	1	0	0	0	0	0
K02069	1	1	1	1	1	0	0	0	0	0
K02071	1	1	1	1	1	1	1	1	1	1
K02072	1	1	1	1	1	1	1	1	1	1
K02073	1	1	1	1	1	1	1	1	1	1
K02074	0	0	0	0	0	1	1	1	1	1
K02075	0	0	0	0	0	1	1	1	1	1
K02076	1	1	1	1	1	0	0	0	0	0
K02077	0	0	0	0	0	1	1	1	1	1
K02078	1	1	1	1	1	1	1	1	1	1
K02081	0	0	0	0	0	1	1	1	1	1
K02086	1	1	1	1	1	0	0	1	0	0
K02099	1	1	1	1	1	1	1	1	1	1
K02103	0	0	1	0	1	0	0	0	0	0
K02108	1	1	1	1	1	0	0	0	0	0
K02109	1	1	1	1	1	1	1	1	1	1
K02110	1	1	1	1	1	0	0	0	0	0
K02111	1	1	1	1	1	0	0	0	0	0
K02113	1	1	1	1	1	1	1	1	1	1
K02114	1	1	1	1	1	1	1	1	1	1
K02115	1	1	1	1	1	1	1	1	1	1
K02116	0	0	0	0	0	1	1	1	1	1
K02126	0	0	0	0	0	1	1	1	1	1
K02128	0	0	0	0	0	1	1	1	1	1
K02132	0	0	0	0	0	1	1	1	1	1
K02133	1	1	1	1	1	1	1	1	1	1
K02160	1	1	1	1	1	1	1	1	1	1
K02167	0	1	0	0	0	1	1	1	1	1
K02168	0	1	0	0	0	0	0	0	0	0
K02169	0	1	0	0	0	1	1	1	1	1
K02170	0	0	0	0	0	1	1	1	1	1
K02171	1	1	0	0	0	0	0	0	0	0
K02173	0	0	0	0	0	1	1	1	1	1
K02182	0	0	0	0	0	0	0	1	0	0
K02183	0	0	0	0	0	1	0	0	0	0
K02189	0	0	0	0	0	1	1	1	1	1
K02193	1	1	0	0	1	1	1	1	1	1
K02194	0	0	0	0	0	1	1	1	1	1
K02195	0	0	0	0	0	1	1	1	1	1
K02196	0	0	0	0	0	1	1	1	1	1
K02197	0	0	0	0	0	1	1	1	1	1
K02198	0	0	0	0	0	1	1	1	1	1
K02199	1	1	1	1	1	1	1	1	1	1
K02200	0	0	0	0	0	1	1	1	1	1
K02204	1	1	1	0	0	1	1	1	1	1
K02221	1	1	1	1	1	1	1	1	1	1
K02224	0	0	0	0	0	1	1	1	1	1
K02225	0	0	0	0	0	1	1	1	1	1
K02226	0	0	0	0	0	1	1	1	1	1
K02227	0	0	0	0	0	1	1	1	1	1
K02228	0	0	0	0	0	1	1	1	1	1
K02229	0	0	0	0	0	1	1	1	1	1
K02230	0	0	0	0	0	1	1	1	1	1
K02231	0	0	0	0	0	1	1	1	1	1
K02232	0	0	0	0	0	1	1	1	1	1
K02233	0	0	0	0	0	1	1	1	1	1
K02234	1	1	1	1	1	1	1	1	1	1
K02236	1	1	1	1	1	0	0	0	0	0
K02237	1	1	1	1	1	0	0	0	0	0
K02238	1	1	1	1	1	1	1	1	1	1
K02240	1	1	1	1	1	0	0	0	0	0
K02242	1	1	1	1	1	1	1	1	1	1
K02243	1	1	1	1	1	0	0	0	0	0
K02244	1	1	1	1	1	0	0	0	0	0
K02245	1	1	1	1	1	0	0	0	0	0
K02246	1	1	0	1	1	0	0	0	0	0
K02250	1	1	1	1	1	0	0	0	0	0
K02257	1	1	1	1	1	1	1	1	1	1
K02258	0	0	0	0	0	1	1	1	1	1
K02259	1	1	1	1	1	1	1	1	1	1
K02262	0	0	0	0	0	1	1	1	1	1
K02274	1	1	1	1	1	1	1	1	1	1
K02275	1	1	1	1	1	1	1	1	1	1
K02276	0	0	0	0	0	1	1	1	1	1
K02277	0	0	0	0	0	1	1	1	1	1
K02278	0	0	0	0	0	1	1	1	1	1
K02279	0	0	0	0	0	1	1	1	1	1
K02280	0	0	0	0	0	1	1	1	1	1
K02281	0	0	0	0	0	1	1	1	1	1
K02282	0	0	0	0	0	1	1	1	1	1
K02283	0	0	0	0	0	1	1	1	1	1
K02294	0	0	0	0	0	1	1	1	1	1
K02297	0	0	0	0	0	1	1	1	1	1
K02298	0	1	0	0	0	1	1	1	1	1
K02299	0	0	0	0	0	1	1	1	1	1
K02300	0	0	0	0	0	1	1	1	0	1
K02302	0	0	0	0	0	1	1	1	1	1
K02303	0	0	0	0	0	1	1	1	1	1
K02313	1	1	1	1	1	1	1	1	1	1
K02314	1	1	1	1	1	1	1	1	1	1
K02315	1	1	0	1	1	0	1	1	1	1
K02316	1	1	1	1	1	1	1	1	1	1
K02335	1	1	1	1	1	1	1	1	1	1
K02336	0	1	0	0	0	0	0	0	0	0
K02337	1	1	1	1	1	1	1	1	1	1
K02338	1	1	1	1	1	1	1	1	1	1
K02339	0	1	0	0	0	1	1	1	1	1
K02340	1	1	1	1	1	1	1	1	1	1
K02341	1	1	1	1	1	1	1	1	1	1
K02342	1	1	1	1	1	1	1	1	1	1
K02343	1	1	1	1	1	1	1	1	1	1
K02346	1	1	1	1	1	1	1	1	1	1
K02347	1	1	1	1	1	0	0	0	0	0
K02348	1	1	1	1	1	1	1	1	1	1
K02351	0	0	0	1	1	0	0	0	0	0
K02355	1	1	1	1	1	1	1	1	1	1
K02356	1	1	1	1	1	1	1	1	1	1
K02357	1	1	1	1	1	1	1	1	1	1
K02358	1	1	1	1	1	1	1	1	1	1
K02364	0	0	0	0	0	0	1	0	0	1
K02372	1	1	1	1	1	1	1	1	1	1
K02377	1	0	0	1	0	1	1	1	1	1
K02381	0	0	0	1	1	0	0	0	0	0
K02383	1	1	1	1	1	1	1	1	1	1
K02385	1	1	1	1	1	0	0	0	0	0
K02386	0	0	0	0	0	1	1	1	1	1
K02387	1	1	1	1	1	1	1	1	1	1
K02388	1	1	1	1	1	1	1	1	1	1
K02389	1	1	1	1	1	1	1	1	1	1
K02390	0	0	0	0	0	1	1	1	1	1
K02391	1	1	1	1	1	1	1	1	1	1
K02392	1	1	1	1	1	1	1	1	1	1
K02393	0	0	0	0	0	1	1	1	1	1
K02394	0	0	0	0	0	1	1	1	1	1
K02395	0	0	0	0	0	1	1	1	1	1
K02396	1	1	1	1	1	1	1	1	1	1
K02397	1	1	1	1	1	1	1	1	1	1
K02398	1	1	1	1	1	0	0	0	0	0
K02399	1	1	1	1	1	0	0	0	0	0
K02400	1	1	1	1	1	1	1	1	1	1
K02401	1	1	1	1	1	1	1	1	1	1
K02404	1	1	1	1	1	0	0	0	0	0
K02405	1	1	1	1	1	0	0	0	0	0
K02406	1	1	1	1	1	1	1	1	1	1
K02407	1	1	1	1	1	0	0	0	0	0
K02408	1	1	1	1	1	1	1	1	1	1
K02409	1	1	1	1	1	1	1	1	1	1
K02410	1	1	1	1	1	1	1	1	1	1
K02411	1	1	1	1	1	0	0	0	0	0
K02412	1	1	1	1	1	1	1	1	1	1
K02413	1	1	1	1	1	0	0	0	0	0
K02414	1	1	1	1	1	0	0	0	0	0
K02415	1	1	1	1	1	1	1	1	1	1
K02416	1	1	1	1	1	1	1	1	1	1
K02417	1	1	1	1	1	1	1	1	1	1
K02418	1	1	1	1	1	0	0	0	1	0
K02419	1	1	1	1	1	1	1	1	1	1
K02420	1	1	1	1	1	1	1	1	1	1
K02421	1	1	1	1	1	1	1	1	1	1
K02422	1	1	1	1	1	0	0	0	0	0
K02424	1	1	1	1	1	1	1	1	1	1
K02426	0	0	0	0	0	1	1	1	1	1
K02427	0	0	0	0	0	1	1	1	1	1
K02431	0	0	0	0	0	1	1	1	1	1
K02433	1	1	1	1	1	1	1	1	1	1
K02434	1	1	1	1	1	1	1	1	1	1
K02435	1	1	1	1	1	1	1	1	1	1
K02437	1	1	1	1	1	1	1	1	1	1
K02438	0	0	0	0	0	1	1	1	1	1
K02439	1	1	1	0	1	1	1	1	1	1
K02440	1	1	1	1	1	0	0	0	0	0
K02441	0	1	0	0	0	1	1	1	1	1
K02443	1	1	1	1	1	0	0	0	0	0
K02444	0	0	0	0	0	1	1	1	1	1
K02445	0	1	0	0	0	0	0	0	0	0
K02446	1	1	1	1	1	0	0	0	0	0
K02450	0	0	0	0	0	0	1	1	0	0
K02456	1	1	1	1	1	0	0	0	0	0
K02458	1	0	1	1	1	0	0	0	0	0
K02469	1	1	1	1	1	1	1	1	1	1
K02470	1	1	1	1	1	1	1	1	1	1
K02471	0	0	0	0	0	1	1	1	1	1
K02472	1	1	1	1	1	0	0	0	0	0
K02473	0	0	1	0	0	1	1	1	0	1
K02474	0	0	1	1	1	0	0	0	0	0
K02477	1	1	1	1	1	0	0	0	0	0
K02478	1	1	1	1	1	0	0	0	0	0
K02479	0	0	0	0	0	1	0	0	0	0
K02480	0	0	0	0	0	1	1	1	1	1
K02482	0	0	0	0	0	0	1	1	1	0
K02483	0	0	0	0	1	0	0	0	0	0
K02484	0	1	1	0	1	0	0	0	0	1
K02485	0	0	0	0	0	0	1	0	0	0
K02486	0	0	0	0	0	1	1	1	1	1
K02488	1	1	1	1	1	1	1	1	1	1
K02490	1	1	1	1	1	0	0	0	0	0
K02491	1	1	1	1	1	1	0	0	0	0
K02492	1	1	1	1	1	0	0	0	0	1
K02493	1	1	1	1	1	1	1	1	1	1
K02495	1	1	1	1	1	1	1	1	1	1
K02496	0	1	0	0	0	0	0	0	0	0
K02497	1	1	1	1	1	0	0	0	0	0
K02498	0	1	0	0	0	1	1	1	1	1
K02499	1	1	1	1	1	0	0	0	0	0
K02500	1	1	1	1	1	1	1	1	1	1
K02501	1	1	1	1	1	1	1	1	1	1
K02502	1	1	1	1	1	1	1	1	1	1
K02503	1	1	1	1	1	1	1	1	1	1
K02509	0	0	0	0	0	1	0	1	1	0
K02510	0	1	1	0	0	1	1	1	1	1
K02517	0	0	0	0	0	1	1	1	1	1
K02518	1	1	1	1	1	1	1	1	1	1
K02519	1	1	1	1	1	1	1	1	1	1
K02520	1	1	1	1	1	1	1	1	1	1
K02523	0	0	0	0	0	1	1	1	1	1
K02527	0	0	0	0	0	1	1	1	1	1
K02528	1	1	1	1	1	1	1	1	1	1
K02529	0	1	0	1	0	1	1	1	1	1
K02532	0	0	1	0	0	0	0	0	0	0
K02533	0	0	0	0	0	1	1	1	1	1
K02535	0	0	0	0	0	1	1	1	1	1
K02536	0	1	0	0	0	1	1	1	1	1
K02548	1	1	1	1	1	0	0	0	0	0
K02549	1	1	1	1	1	0	0	0	0	0
K02551	1	1	1	1	1	0	0	0	0	0
K02552	1	1	1	1	1	0	0	0	0	0
K02554	0	0	0	0	0	1	1	1	1	1
K02556	1	1	1	1	1	1	1	1	1	1
K02557	1	1	1	1	1	1	1	1	1	1
K02560	0	1	0	0	0	0	0	0	0	0
K02563	1	1	1	1	1	1	1	1	1	1
K02564	1	1	1	1	1	0	0	0	0	0
K02565	1	1	1	1	0	1	1	1	1	1
K02570	0	1	0	0	0	0	0	0	0	0
K02572	0	1	0	0	0	0	0	0	0	0
K02574	0	1	0	0	0	1	1	1	1	1
K02575	0	1	1	1	0	1	1	1	1	1
K02584	0	0	0	0	0	1	1	1	1	1
K02585	0	0	0	0	0	1	1	1	1	1
K02586	0	0	0	0	0	1	1	1	1	1
K02587	0	0	0	0	0	1	1	1	1	1
K02588	0	0	0	0	0	1	1	1	0	1
K02591	0	0	0	0	0	1	1	1	1	1
K02592	0	0	0	0	0	1	1	1	1	1
K02593	0	0	0	0	0	0	0	0	1	1
K02596	0	0	0	0	0	0	0	0	0	1
K02598	1	1	1	1	1	0	0	0	0	0
K02600	1	1	1	1	1	1	1	1	1	1
K02601	1	1	1	1	1	1	1	1	1	1
K02609	0	1	0	0	0	0	0	0	0	0
K02610	0	1	0	0	0	0	0	0	0	0
K02611	0	1	0	0	0	0	0	0	0	0
K02612	0	1	0	0	0	1	1	1	1	1
K02613	0	1	0	0	0	0	0	0	0	0
K02614	0	0	0	0	0	1	1	1	1	1
K02618	0	1	0	0	0	0	0	0	0	0
K02619	1	1	1	1	1	0	0	0	0	0
K02621	0	0	0	0	0	1	1	1	1	1
K02622	0	1	0	0	1	1	1	1	1	1
K02623	0	0	0	0	0	1	1	1	1	1
K02624	0	0	0	0	0	1	1	1	1	1
K02636	1	1	1	1	1	1	1	1	1	1
K02638	0	0	0	1	0	1	1	1	1	1
K02647	1	1	1	1	1	0	0	0	0	0
K02651	0	0	0	0	0	1	1	1	1	1
K02652	1	1	1	1	1	0	0	0	0	0
K02653	1	1	1	1	1	0	0	0	0	0
K02656	0	0	0	0	0	1	1	1	1	1
K02662	1	1	1	1	1	0	0	0	0	0
K02664	1	1	1	1	1	0	0	0	0	0
K02669	1	1	1	1	1	0	0	0	0	0
K02672	1	1	0	1	0	0	0	0	0	0
