ID	GIC31_complete	JQGI01_HUD	RW2_complete	S17	SH31	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217
K00286	1	1	1	1	1	1	1	1	1	1
K00287	1	1	1	1	1	1	1	1	1	1
K00297	0	0	0	0	0	1	1	1	1	1
K00299	0	0	0	0	0	1	1	1	1	1
K00301	1	1	1	0	0	1	1	1	1	1
K00302	0	0	0	0	0	1	1	1	1	1
K00303	0	1	0	0	0	1	1	1	1	1
K00304	0	0	0	0	0	1	1	1	1	1
K00305	0	0	0	0	0	1	1	1	1	1
K00309	0	0	0	0	0	1	1	1	1	1
K00310	0	0	0	0	0	1	1	1	1	1
K00311	0	1	0	0	0	1	1	1	1	1
K00313	0	0	0	0	0	1	1	1	1	1
K00318	1	1	1	1	1	0	0	0	0	0
K00320	1	1	1	0	1	1	1	1	1	1
K00322	0	0	0	0	0	1	1	1	1	1
K00323	0	0	0	0	0	0	1	0	0	1
K00324	0	0	0	0	0	1	1	1	1	1
K00325	0	0	0	0	0	1	1	1	1	1
K00330	0	1	0	0	0	1	1	1	1	1
K00331	0	0	0	0	0	0	0	1	1	1
K00332	0	0	0	0	0	0	0	1	1	1
K00333	0	0	0	0	0	0	0	1	1	1
K00334	0	1	0	0	0	1	1	1	1	1
K00335	0	0	0	0	0	1	1	1	1	1
K00336	0	0	0	0	0	0	0	0	0	1
K00337	0	0	0	0	0	1	1	1	1	1
K00338	0	0	0	0	0	0	0	1	1	1
K00339	0	0	0	0	0	1	1	1	1	1
K00340	0	0	0	0	0	1	1	1	1	1
K00341	0	0	0	0	0	1	1	1	1	1
K00342	0	1	0	0	0	1	1	1	1	1
K00343	0	0	0	0	0	1	1	1	1	1
K00344	1	1	1	1	1	1	1	1	1	1
K00347	0	1	0	0	0	0	0	0	0	0
K00348	0	1	0	0	0	0	0	0	0	0
K00354	0	0	0	0	0	1	1	1	1	1
K00355	0	0	0	0	0	1	1	1	1	1
K00362	0	0	0	0	0	1	1	1	1	1
K00364	1	1	1	1	1	0	0	0	0	0
K00372	0	1	1	1	0	1	1	1	1	1
K00374	0	1	0	0	0	0	0	0	0	0
K00375	1	1	1	1	1	1	1	1	1	1
K00380	0	0	0	0	0	1	1	0	0	0
K00381	0	0	0	0	0	1	1	1	1	1
K00382	1	1	1	1	1	1	1	1	1	1
