Sample_ID	DRAM	InterProScan	Metacerberus	PROKKA
1	13.997333333333334	4.520166666666666	14.952333333333334	0.287
2	10.125499999999999	34.06783333333333	11.145166666666666	0.26566666666666666
3	12.246166666666666	3.0	15.997833333333334	0.43383333333333335
4	9.103	2.341833333333333	10.092166666666666	0.2115
5	11.043333333333333	20.1445	13.439	0.3825
6	13.0395	2.314	17.79733333333333	0.6016666666666667
7	14.271166666666666	32.797333333333334	18.116833333333332	0.481
8	9.369166666666667	25.878833333333333	10.273333333333333	0.3378333333333333
9	13.343	2.7103333333333333	18.703500000000002	0.6873333333333334
10	9.716000000000001	27.451999999999998	11.864	0.43666666666666665
11	9.195666666666666	7.065833333333333	9.977833333333333	0.21266666666666667
12	11.117833333333333	27.58533333333333	13.661	0.44949999999999996
13	16.019	6.582666666666666	22.27716666666667	0.9646666666666667
14	8.272833333333333	24.549166666666668	9.244499999999999	0.21816666666666668
15	12.185	44.91383333333333	14.1555	0.491
16	16.552333333333333	4.335166666666667	26.244000000000003	1.212
17	11.304333333333334	25.838833333333334	15.6295	0.484
18	6.7476666666666665	8.705	7.343166666666666	0.17066666666666666
19	13.979999999999999	23.96033333333333	12.740666666666668	0.4686666666666667
20	11.769166666666667	27.294666666666668	15.177333333333333	0.414
21	12.478666666666667	23.48483333333333	15.272833333333333	0.3748333333333333
22	9.6545	12.701833333333333	9.79	0.233
23	11.259500000000001	18.7365	13.2195	0.35816666666666663
24	12.1165	38.65016666666667	14.090499999999999	0.4565
25	12.743	2.7858333333333336	20.250833333333333	0.778
26	9.293166666666668	26.293	13.177166666666666	0.21600000000000003
27	8.597166666666668	7.973	11.9075	0.18083333333333332
28	7.065333333333333	5.788333333333333	10.471	0.22866666666666668
29	9.757333333333333	22.590500000000002	13.473666666666666	0.28150000000000003
30	7.078833333333334	30.061833333333333	10.275166666666667	0.2375
31	7.285833333333333	7.695833333333334	9.902833333333332	0.18766666666666668
32	9.2905	30.388166666666667	13.788666666666668	0.3516666666666667
33	11.884333333333332	29.808833333333332	15.560833333333333	0.303
34	10.893	9.521333333333333	20.8615	0.7799999999999999
35	8.7735	18.3335	12.977333333333332	0.32
36	7.069833333333333	13.442166666666667	9.835666666666667	0.20299999999999999
37	9.4385	13.195666666666666	13.964	0.3701666666666667
38	12.049666666666667	16.598666666666666	16.317833333333333	0.29233333333333333
39	10.457666666666666	27.738166666666665	16.554166666666667	0.5516666666666666
40	10.452499999999999	22.7745	11.748333333333333	0.2643333333333333
