ID	count
K00012	1
K00016	1
K00020	1
K00033	1
K00042	1
K00046	1
K00052	1
K00053	1
K00058	1
K00098	1
K00116	1
K00133	1
K00135	1
K00221	1
K00239	1
K00240	1
K00241	1
K00242	1
K00252	1
K00344	1
K00382	1
K00446	1
K00459	1
K00520	1
K00666	1
K00758	1
K00793	1
K00794	1
K00826	1
K00847	1
K00851	1
K00857	1
K00882	1
K00925	1
K00928	1
K00936	1
K00943	1
K00948	1
K00971	1
K00973	1
K01005	1
K01055	1
K01056	1
K01142	1
K01251	1
K01259	1
K01421	1
K01488	1
K01489	1
K01501	1
K01534	1
K01588	1
K01589	1
K01607	1
K01621	1
K01652	1
K01653	1
K01687	1
K01689	1
K01697	1
K01710	1
K01738	1
K01754	1
K01758	1
K01809	1
K01840	1
K01867	1
K01885	1
K01892	1
K01895	1
K01966	1
K02034	1
K02199	1
K02204	1
K02279	1
K02282	1
K02283	1
K02341	1
K02343	1
K02509	1
K02510	1
K02565	1
K02601	1
K02821	1
K02863	1
K02864	1
K02867	1
K02897	1
K02935	1
K03079	1
K03163	1
K03168	1
K03212	1
K03215	1
K03294	1
K03299	1
K03325	1
K03524	1
K03564	1
K03595	1
K03624	1
K03723	1
K03744	1
K03762	1
K03783	1
K03787	1
K03790	1
K03885	1
K04042	1
K04765	1
K05366	1
K05589	1
K05712	1
K05714	1
K05770	1
K05888	1
K05921	1
K06147	1
K06187	1
K06196	1
K06287	1
K06883	1
K06915	1
K06994	1
K06996	1
K07058	1
K07098	1
K07272	1
K07335	1
K07443	1
K07451	1
K07483	1
K07497	1
K07552	1
K07636	1
K07656	1
K07658	1
K07672	1
K07684	1
K08167	1
K08172	1
K08173	1
K08281	1
K08369	1
K08483	1
K08981	1
K08987	1
K09009	1
K09017	1
K09022	1
K09153	1
K09471	1
K09690	1
K09691	1
K09694	1
K09695	1
K09927	1
K10546	1
K10547	1
K10548	1
K11263	1
K11354	1
K11752	1
K11936	1
K12368	1
K12369	1
K12510	1
K12583	1
K12960	1
K12972	1
K12991	1
K13075	1
K13658	1
K13788	1
K13896	1
K14059	1
K14260	1
K14647	1
K14652	1
K15510	1
K15973	1
K15977	1
K16150	1
K16567	1
K16568	1
K16702	1
K16870	1
K18104	1
K18336	1
K18425	1
K18455	1
K18887	1
K18888	1
K18955	1
K19065	1
K19591	1
K20469	1
K20539	1
K20989	1
K21962	1
K22108	1
K22124	1
K22221	1
K22270	1
K22907	1
K23466	1
K23490	1
K23535	1
K23536	1
K23537	1
K23778	1
K23842	1
K23987	1
