ID	FragGeneScan_GIC31	FragGeneScan_DJ	FragGeneScan_RW1	FragGeneScan_Rleg	FragGeneScan_RW2
K00615	1.0	1.0	0.0	1.0	1.0
K00616	0.0	1.0	0.0	1.0	0.0
K00619	0.0	1.0	0.0	1.0	0.0
K00620	1.0	1.0	0.0	1.0	1.0
K00625	0.0	1.0	0.0	1.0	0.0
K00626	0.0	1.0	0.0	1.0	0.0
K00632	1.0	1.0	0.0	1.0	1.0
K00634	1.0	0.0	0.0	0.0	1.0
K00639	1.0	0.0	0.0	1.0	1.0
K00640	1.0	1.0	0.0	1.0	1.0
K00641	0.0	1.0	0.0	1.0	0.0
K00643	0.0	0.0	0.0	1.0	0.0
K00651	0.0	0.0	0.0	1.0	0.0
K00656	1.0	0.0	0.0	0.0	1.0
K00657	0.0	0.0	0.0	1.0	0.0
K00658	1.0	1.0	0.0	1.0	1.0
K00673	0.0	1.0	0.0	0.0	0.0
K00674	0.0	1.0	0.0	0.0	0.0
K00677	0.0	1.0	0.0	1.0	0.0
K00681	0.0	1.0	0.0	1.0	0.0
K00688	1.0	1.0	0.0	1.0	1.0
K00691	1.0	0.0	0.0	0.0	1.0
K00694	0.0	1.0	0.0	1.0	0.0
K00697	0.0	1.0	0.0	1.0	0.0
K00700	0.0	1.0	0.0	1.0	0.0
K00703	1.0	1.0	0.0	1.0	1.0
K00705	0.0	1.0	0.0	1.0	0.0
K00720	0.0	1.0	0.0	0.0	0.0
K00721	0.0	0.0	0.0	1.0	0.0
K00748	0.0	1.0	0.0	1.0	0.0
K00750	0.0	0.0	0.0	1.0	0.0
K00756	1.0	0.0	0.0	0.0	1.0
K00758	0.0	0.0	1.0	1.0	0.0
K00759	1.0	0.0	0.0	1.0	1.0
K00760	0.0	1.0	0.0	1.0	0.0
K00761	1.0	1.0	0.0	1.0	1.0
K00762	1.0	1.0	0.0	1.0	1.0
K00764	1.0	1.0	0.0	1.0	1.0
K00765	1.0	1.0	0.0	1.0	1.0
K00766	1.0	1.0	0.0	1.0	1.0
K00769	0.0	0.0	0.0	1.0	0.0
K00789	1.0	1.0	0.0	1.0	1.0
K00790	1.0	1.0	0.0	1.0	1.0
K00794	1.0	1.0	1.0	1.0	1.0
K00797	0.0	1.0	0.0	1.0	0.0
K00799	0.0	1.0	0.0	1.0	0.0
K00800	1.0	0.0	0.0	1.0	1.0
K00812	1.0	1.0	0.0	1.0	1.0
K00813	0.0	0.0	0.0	1.0	0.0
K00817	1.0	1.0	0.0	1.0	1.0
K00819	1.0	0.0	0.0	1.0	1.0
K00820	1.0	1.0	0.0	1.0	1.0
K00821	1.0	1.0	0.0	1.0	1.0
K00822	0.0	1.0	0.0	1.0	0.0
K00824	0.0	0.0	0.0	1.0	0.0
K00826	1.0	1.0	1.0	1.0	1.0
K00831	1.0	1.0	0.0	1.0	1.0
K00832	0.0	1.0	0.0	1.0	0.0
K00836	0.0	1.0	0.0	0.0	0.0
K00840	0.0	1.0	0.0	0.0	0.0
K00845	0.0	1.0	0.0	1.0	0.0
K00847	1.0	1.0	1.0	1.0	1.0
K00849	0.0	0.0	0.0	0.0	1.0
K00850	1.0	0.0	0.0	0.0	1.0
K00853	0.0	0.0	0.0	0.0	1.0
K00854	0.0	1.0	0.0	1.0	0.0
K00857	1.0	0.0	1.0	1.0	1.0
K00860	0.0	1.0	0.0	0.0	0.0
K00865	1.0	1.0	0.0	0.0	1.0
K00873	1.0	1.0	0.0	1.0	1.0
K00874	0.0	0.0	0.0	1.0	0.0
K00875	0.0	0.0	0.0	1.0	0.0
K00876	1.0	0.0	0.0	0.0	1.0
K00880	0.0	0.0	0.0	1.0	0.0
K00883	0.0	1.0	0.0	1.0	0.0
K00887	1.0	1.0	0.0	1.0	1.0
K00891	1.0	0.0	0.0	0.0	1.0
K00899	1.0	0.0	0.0	0.0	1.0
K00912	0.0	1.0	0.0	1.0	0.0
K00925	1.0	1.0	1.0	1.0	1.0
K00926	1.0	0.0	0.0	1.0	1.0
K00927	1.0	1.0	0.0	1.0	1.0
K00928	1.0	1.0	1.0	1.0	1.0
K00930	1.0	1.0	0.0	1.0	1.0
K00931	0.0	1.0	0.0	1.0	0.0
K00937	1.0	1.0	0.0	1.0	1.0
K00939	1.0	0.0	0.0	1.0	1.0
K00940	1.0	1.0	0.0	1.0	1.0
K00942	1.0	1.0	0.0	1.0	1.0
K00943	1.0	1.0	1.0	1.0	1.0
K00944	0.0	1.0	0.0	0.0	0.0
K00945	0.0	1.0	0.0	1.0	0.0
K00948	1.0	1.0	1.0	1.0	1.0
K00955	0.0	1.0	0.0	0.0	0.0
K00956	0.0	0.0	0.0	1.0	0.0
K00957	0.0	1.0	0.0	1.0	0.0
K00962	1.0	1.0	0.0	1.0	1.0
K00971	0.0	0.0	1.0	1.0	0.0
K00974	1.0	1.0	0.0	0.0	1.0
K00975	1.0	0.0	0.0	1.0	1.0
K00978	0.0	1.0	0.0	0.0	0.0
K00979	0.0	1.0	0.0	1.0	0.0
K01000	1.0	1.0	0.0	1.0	1.0
K01006	0.0	1.0	0.0	1.0	0.0
K01007	0.0	1.0	0.0	0.0	0.0
K01011	1.0	1.0	0.0	1.0	1.0
K01026	0.0	0.0	0.0	1.0	0.0
K01028	0.0	1.0	0.0	0.0	0.0
K01029	0.0	1.0	0.0	0.0	0.0
K01039	0.0	1.0	0.0	0.0	0.0
K01040	0.0	1.0	0.0	0.0	0.0
K01046	1.0	1.0	0.0	1.0	1.0
K01048	0.0	1.0	0.0	1.0	0.0
K01052	0.0	0.0	0.0	1.0	0.0
K01057	0.0	1.0	0.0	1.0	0.0
K01070	0.0	1.0	0.0	1.0	0.0
K01079	0.0	1.0	0.0	1.0	0.0
K01087	0.0	1.0	0.0	1.0	0.0
K01119	1.0	0.0	0.0	1.0	1.0
K01129	0.0	1.0	0.0	1.0	0.0
K01139	1.0	1.0	0.0	1.0	1.0
K01176	1.0	0.0	0.0	0.0	1.0
K01178	0.0	1.0	0.0	1.0	0.0
K01181	0.0	0.0	0.0	1.0	0.0
K01182	1.0	1.0	0.0	1.0	1.0
K01184	0.0	0.0	0.0	1.0	0.0
K01186	0.0	0.0	0.0	1.0	0.0
K01190	0.0	0.0	0.0	1.0	0.0
K01191	0.0	0.0	0.0	1.0	0.0
K01192	0.0	0.0	0.0	1.0	0.0
K01193	1.0	1.0	0.0	1.0	1.0
K01198	0.0	0.0	0.0	1.0	1.0
K01199	0.0	1.0	0.0	0.0	0.0
K01200	1.0	0.0	0.0	0.0	1.0
K01206	0.0	0.0	0.0	1.0	0.0
K01207	1.0	1.0	0.0	1.0	1.0
K01208	1.0	0.0	0.0	1.0	1.0
K01209	0.0	0.0	0.0	1.0	1.0
K01214	0.0	1.0	0.0	1.0	0.0
K01217	0.0	0.0	0.0	1.0	0.0
K01218	0.0	0.0	0.0	1.0	0.0
K01222	1.0	0.0	0.0	0.0	1.0
K01223	1.0	0.0	0.0	0.0	1.0
K01226	1.0	0.0	0.0	0.0	1.0
K01228	0.0	0.0	0.0	1.0	0.0
K01232	1.0	0.0	0.0	0.0	1.0
K01233	0.0	0.0	0.0	1.0	0.0
K01236	0.0	1.0	0.0	1.0	0.0
K01239	0.0	0.0	0.0	1.0	0.0
K01240	0.0	0.0	0.0	1.0	0.0
K01241	0.0	1.0	0.0	1.0	0.0
K01243	1.0	1.0	0.0	1.0	1.0
K01247	1.0	0.0	0.0	1.0	1.0
K01251	0.0	1.0	1.0	1.0	0.0
K01259	0.0	1.0	1.0	1.0	0.0
K01270	0.0	0.0	0.0	0.0	1.0
K01286	1.0	1.0	0.0	1.0	1.0
K01303	0.0	1.0	0.0	0.0	0.0
K01424	1.0	1.0	0.0	0.0	1.0
K01425	1.0	0.0	0.0	1.0	1.0
K01426	1.0	0.0	0.0	1.0	1.0
K01428	0.0	1.0	0.0	1.0	0.0
K01429	0.0	1.0	0.0	1.0	0.0
K01430	0.0	1.0	0.0	1.0	0.0
K01438	0.0	1.0	0.0	1.0	0.0
K01439	0.0	1.0	0.0	1.0	0.0
K01443	1.0	0.0	0.0	1.0	1.0
K01448	1.0	1.0	0.0	1.0	1.0
K01449	0.0	0.0	0.0	1.0	0.0
K01451	0.0	0.0	0.0	1.0	0.0
K01452	1.0	0.0	0.0	0.0	0.0
K01457	0.0	0.0	0.0	1.0	0.0
K01458	0.0	1.0	0.0	1.0	0.0
K01464	0.0	0.0	0.0	1.0	0.0
K01465	1.0	1.0	0.0	1.0	1.0
K01466	0.0	0.0	0.0	1.0	0.0
K01468	0.0	1.0	0.0	1.0	0.0
K01470	0.0	1.0	0.0	1.0	0.0
K01473	0.0	1.0	0.0	1.0	0.0
K01474	0.0	0.0	0.0	1.0	0.0
K01476	1.0	0.0	0.0	1.0	1.0
K01477	0.0	1.0	0.0	0.0	0.0
K01478	1.0	0.0	0.0	1.0	1.0
K01480	1.0	0.0	0.0	1.0	1.0
