ID	Function
pVOG0001	single strand DNA binding protein
pVOG0002	major coat protein
pVOG0005	assembly (protein IV of M13)
pVOG0006	minor head protein; receptor binding protein
pVOG0007	minor head protein Ace-like protein
pVOG0008	hypothetical protein
pVOG0009	tail assembly protein
pVOG0010	transcriptional regulator
pVOG0011	hypothetical protein
pVOG0012	hypothetical protein
pVOG0013	replication initiation protein
pVOG0014	single strand DNA binding protein
pVOG0015	major coat protein
pVOG0016	SAM-dependent methyltransferase
pVOG0017	hypothetical protein
pVOG0018	ATP-dependent DNA ligase
pVOG0019	RNA polymerase
pVOG0020	deoxynucleoside monophosphate kinase
pVOG0021	Gp2.5-like ssDNA binding protein and ssDNA annealing protein
pVOG0024	hypothetical protein
pVOG0025	Replicative DNA helicase
pVOG0026	DNA polymerase
pVOG0028	RNaseH
pVOG0029	host range and adsorption protein
pVOG0030	head-tail adaptor
pVOG0031	head assembly
pVOG0034	tail protein
pVOG0035	internal virion protein
pVOG0037	internal virion protein
pVOG0038	internal virion protein with endolysin domain protein
pVOG0040	holin
pVOG0041	terminase small subunit
pVOG0043	unannotated protein
pVOG0044	unannotated protein
pVOG0045	hypothetical protein
pVOG0046	superinfection exclusion
pVOG0047	hypothetical protein
pVOG0048	tail spike protein
pVOG0049	RNA-splicing ligase RtcB
pVOG0050	dCMP deaminase
pVOG0051	terminase large subunit
pVOG0052	RNA polymerase sigma factor
pVOG0054	holin
pVOG0058	PhoH-like phosphate starvation-inducible
pVOG0061	major head protein
pVOG0064	tail fiber protein
pVOG0065	unannotated protein
pVOG0066	hypothetical protein
pVOG0067	tail sheath
pVOG0068	unannotated protein
pVOG0069	tail assembly chaperone
pVOG0079	unannotated protein
pVOG0080	hypothetical protein
pVOG0083	SbcC-like subunit of palindrome specific endonuclease
pVOG0085	Deoxyuridine 5'-triphosphate nucleotidohydrolase
pVOG0086	RusA-like Holliday junction resolvase
pVOG0088	Ribonucleoside-diphosphate reductase 1 subunit alpha
pVOG0090	terminase small subunit
pVOG0092	Thymidylate synthase
pVOG0094	DNA binding protein
pVOG0095	hypothetical protein
pVOG0098	RNA polymerase sigma factor
pVOG0100	hypothetical protein
