ID	Function
VOG0346	hypothetical protein
VOG0347	hypothetical protein
VOG0348	SbcC-like subunit of palindrome specific endonuclease
VOG0350	nicotinamide phosphoribosyl transferase
VOG0351	head maturation protease
VOG0352	peptidase
VOG0354	RNA polymerase beta subunit
VOG0355	P-like helicase loader
VOG0356	tail sheath
VOG0362	RNA polymerase beta subunit
VOG0364	RNA polymerase beta subunit
VOG0367	unannotated protein
VOG0368	unannotated protein
VOG0369	unannotated protein
VOG0370	hypothetical protein
VOG0371	membrane protein
VOG0372	DNA ligase
VOG0373	RNA polymerase beta subunit
VOG0374	hypothetical protein
VOG0375	DNA binding protein
VOG0376	toxin-antitoxin system HicB-like protein
VOG0377	unannotated protein
VOG0382	DNA topoisomerase II large subunit
VOG0384	DNA gyrase subunit A
VOG0388	hypothetical protein
VOG0389	unknown function
VOG0390	transcriptional regulator
VOG0393	RNA polymerase ADP-ribosylase
VOG0394	hypothetical protein
VOG0395	Mrh transcription modulator under heat shock
VOG0396	hypothetical protein
VOG0397	nucleoside triphosphate pyrophosphohydrolase
VOG0398	hypothetical protein
VOG0400	spackle periplasmic
VOG0401	hypothetical protein
VOG0402	unannotated protein
VOG0403	beta-glucosyl-HMC-alpha-glucosyltransferase
VOG0404	hypothetical protein
VOG0405	hypothetical protein
VOG0407	hypothetical protein
VOG0408	clamp loader of DNA polymerase
VOG0409	DNA polymerase processivity factor
VOG0410	unannotated protein
VOG0411	hypothetical protein
VOG0412	alpha-glucosyltransferase
VOG0413	unannotated protein
VOG0414	hypothetical protein
VOG0415	hypothetical protein
VOG0416	hypothetical protein
VOG0417	hypothetical protein
VOG0418	hypothetical protein
VOG0419	Anaerobic ribonucleoside-triphosphate reductase-activating protein
VOG0420	Anaerobic ribonucleoside-triphosphate reductase
VOG0421	inhibitor of host Lon protease
VOG0422	unannotated protein
VOG0424	unknown function
VOG0425	unknown function
VOG0426	unknown function
VOG0427	hypothetical protein
VOG0428	hypothetical protein
VOG0429	unannotated protein
VOG0433	lysis inhibition
VOG0434	hypothetical protein
VOG0435	hypothetical protein
VOG0436	endoribonuclease
VOG0437	hypothetical protein
VOG0438	hypothetical protein
VOG0439	hypothetical protein
VOG0440	Autonomous glycyl radical cofactor
VOG0441	unknown function
VOG0443	nudix hydrolase
VOG0444	membrane protein
VOG0445	unknown function
VOG0447	unannotated protein
VOG0448	hypothetical protein
VOG0449	hypothetical protein
VOG0450	RNA ligase
VOG0451	head closure
VOG0452	unannotated protein
VOG0454	baseplate wedge subunit
VOG0456	baseplate wedge subunit
VOG0457	baseplate wedge subunit
VOG0459	unannotated protein
VOG0460	head-tail adaptor Ad2
VOG0461	head closure Hc2
VOG0462	tail sheath stabilizer
VOG0463	prohead
VOG0464	head scaffolding protein
VOG0465	head scaffolding protein
VOG0466	major head protein
VOG0468	hypothetical protein
VOG0469	hypothetical protein
VOG0471	unannotated protein
VOG0473	unannotated protein
VOG0474	baseplate hub
VOG0475	baseplate hub distal subunit
VOG0476	baseplate hub subunit and tail length
VOG0477	baseplate tail tube cap
VOG0479	hypothetical protein
VOG0480	Alt-like RNA polymerase ADP-ribosyltransferase
VOG0481	unknown function
VOG0482	hypothetical protein
VOG0483	hypothetical protein
VOG0484	hypothetical protein
VOG0485	lysis inhibition; accessory protein
VOG0486	unknown function
VOG0487	hypothetical protein
VOG0488	hypothetical protein
VOG0489	hypothetical protein
VOG0493	endonuclease
VOG0494	ribonucleotide reductase NrdA-like protein
VOG0495	hypothetical protein
VOG0496	dihydrofolate reductase
VOG0497	hypothetical protein
VOG0498	unannotated protein
VOG0499	single strand DNA binding protein
VOG0505	holin
VOG0506	unknown function
VOG0507	hypothetical protein
VOG0509	unannotated protein
VOG0510	Ndd-like nucleoid disruption protein
VOG0511	unknown function
VOG0513	anti-repressor Ant
VOG0514	unannotated protein
VOG0518	hypothetical protein
VOG0519	hypothetical protein
VOG0521	hypothetical protein
VOG0523	transcriptional regulator
VOG0524	hypothetical protein
VOG0525	hypothetical protein
VOG0526	virulence associated
VOG0527	hypothetical protein
VOG0528	hypothetical protein
VOG0529	Na/K ATPase
VOG0531	hypothetical protein
VOG0532	DNA binding protein
VOG0533	hypothetical protein
VOG0534	unannotated protein
VOG0535	Mu Gam-like end protection
VOG0536	Holliday junction resolvase
VOG0537	hypothetical protein
VOG0539	tail completion or Neck1 protein
VOG0541	head-tail adaptor
VOG0542	hypothetical protein
VOG0543	hypothetical protein
VOG0544	Panton-Valentine leukocicin
VOG0545	Panton-Valentine leukocicin
VOG0546	hypothetical protein
VOG0547	unannotated protein
VOG0548	hypothetical protein
VOG0549	unannotated protein
VOG0550	hypothetical protein
VOG0551	hypothetical protein
VOG0553	hypothetical protein
VOG0554	hypothetical protein
VOG0555	hypothetical protein
VOG0556	hypothetical protein
VOG0557	transcriptional regulator
VOG0558	hypothetical protein
VOG0559	RinB-like transcriptional activator
VOG0560	hypothetical protein
VOG0562	hypothetical protein
VOG0564	hypothetical protein
VOG0565	hypothetical protein
VOG0566	head scaffolding protein
VOG0567	terminase small subunit
VOG0568	head-tail adaptor Ad1
VOG0569	tail protein
VOG0571	tail terminator
VOG0572	hypothetical protein
VOG0573	hypothetical protein
VOG0574	tail protein
VOG0577	head closure
VOG0582	tail protein
VOG0583	transcriptional regulator
VOG0584	hypothetical protein
VOG0585	putative protein YbiI
VOG0586	replication initiation protein
VOG0588	hypothetical protein
VOG0590	beta-glucosyl-HMC-alpha-glucosyltransferase
VOG0595	hypothetical protein
VOG0598	hypothetical protein
VOG0600	hypothetical protein
VOG0601	hypothetical protein
VOG0602	holin
VOG0603	hypothetical protein
VOG0608	hypothetical protein
VOG0609	head scaffolding protein
VOG0611	terminase small subunit
VOG0612	terminase small subunit
VOG0614	hypothetical protein
VOG0615	holin/anti-holin
VOG0618	hypothetical protein
VOG0621	hypothetical protein
VOG0622	hypothetical protein
VOG0623	hypothetical protein
VOG0625	recombinase
VOG0628	hypothetical protein
VOG0629	hypothetical protein
VOG0630	unannotated protein
VOG0631	unannotated protein
VOG0632	hypothetical protein
VOG0634	hypothetical protein
VOG0635	hypothetical protein
VOG0637	hypothetical protein
VOG0638	hypothetical protein
VOG0639	terminase
VOG0641	holin
VOG0642	adaptor Ad4
VOG0643	major head protein
VOG0644	upper collar connector
VOG0645	tail protein
VOG0647	tail protein
VOG0648	hypothetical protein
VOG0650	HTH DNA binding protein
VOG0651	hypothetical protein
VOG0655	hypothetical protein
VOG0656	hypothetical protein
VOG0657	hypothetical protein
VOG0658	hypothetical protein
VOG0660	hypothetical protein
VOG0661	membrane protein
VOG0668	DNA polymerase
VOG0672	hypothetical protein
VOG0673	hypothetical protein
VOG0674	unannotated protein
VOG0676	RNA ligase
VOG0677	metal-dependent phosphohydrolase
VOG0678	RNA-binding protein
VOG0679	hypothetical protein
VOG0681	hypothetical protein
VOG0682	hypothetical protein
VOG0685	hypothetical protein
VOG0686	unannotated protein
VOG0689	nuclease
VOG0691	portal protein
VOG0692	head morphogenesis
VOG0694	major head protein
VOG0695	head-tail adaptor
VOG0696	head-tail adaptor
VOG0697	minor head protein
VOG0698	minor head protein
VOG0700	hypothetical protein
VOG0701	hypothetical protein
VOG0703	holin
VOG0704	tail terminator
VOG0705	FtsK/SpoIIIE-like protein
VOG0706	replication initiation protein
VOG0707	hypothetical protein
VOG0709	internal head protein
VOG0712	hypothetical protein
VOG0713	hypothetical protein
VOG0714	hypothetical protein
VOG0717	hypothetical protein
VOG0719	hypothetical protein
VOG0720	portal protein
VOG0723	minor head protein
VOG0724	tail terminator
VOG0725	tail chaperone protein
VOG0727	minor tail protein
VOG0731	holin
VOG0733	hypothetical protein
VOG0734	hypothetical protein
VOG0735	metallo-protease
VOG0736	hypothetical protein
VOG0737	hypothetical protein
VOG0739	hypothetical protein
VOG0740	hypothetical protein
VOG0741	hypothetical protein
VOG0743	hypothetical protein
VOG0744	hypothetical protein
VOG0749	Phage-like element PBSX protein XkdG
VOG0750	minor head protein
VOG0751	hypothetical protein
VOG0752	hypothetical protein
VOG0753	hypothetical protein
VOG0754	hypothetical protein
VOG0755	hypothetical protein
VOG0756	Erf-like ssDNA annealing protein
VOG0757	hypothetical protein
VOG0758	hypothetical protein
VOG0760	hypothetical protein
VOG0763	hypothetical protein
VOG0764	major head protein
VOG0765	unannotated protein
VOG0766	Rz-like spanin
VOG0769	hypothetical protein
VOG0771	phosphofructokinase
VOG0774	hypothetical protein
VOG0776	hypothetical protein
VOG0784	hypothetical protein
VOG0785	excisionase
VOG0787	hypothetical protein
VOG0788	unannotated protein
VOG0789	hypothetical protein
VOG0790	hypothetical protein
VOG0791	hypothetical protein
VOG0792	hypothetical protein
VOG0793	unannotated protein
VOG0794	acetyltransferase
VOG0795	hypothetical protein
VOG0796	terminase small subunit
VOG0797	hypothetical protein
VOG0799	major tail protein
VOG0800	unannotated protein
VOG0801	distal tail protein Dit
VOG0804	tail fiber protein
VOG0805	hypothetical protein
VOG0806	unannotated protein
VOG0807	unannotated protein
VOG0808	unannotated protein
VOG0809	hypothetical protein
VOG0810	hypothetical protein
VOG0811	hypothetical protein
VOG0812	secreted protein
VOG0813	tail assembly chaperone
VOG0814	unannotated protein
VOG0815	hypothetical protein
VOG0816	hypothetical protein
VOG0817	unannotated protein
VOG0819	hypothetical protein
VOG0820	hypothetical protein
VOG0821	hypothetical protein
VOG0822	hypothetical protein
VOG0823	excisionase
VOG0824	hypothetical protein
VOG0825	hypothetical protein
VOG0827	gam-like host nuclease inhibitor
VOG0828	unknown function
VOG0830	Bor-like outer membrane protein
VOG0831	Prophage DNA-packing protein NohA
VOG0832	unannotated protein
VOG0833	unannotated protein
VOG0835	head decoration
VOG0837	DNA packaging chaperone FI
VOG0838	unannotated protein
VOG0839	hypothetical protein
VOG0840	tail terminator
VOG0842	minor tail protein
VOG0843	unannotated protein
VOG0847	minor tail protein
VOG0848	minor tail protein
VOG0850	minor tail protein
VOG0855	Lom outer membrane protein
VOG0861	unannotated protein
VOG0862	metallo-protease
VOG0866	hypothetical protein
VOG0868	hypothetical protein
VOG0870	virion structural protein
VOG0874	hypothetical protein
VOG0875	DNA terminal protein
VOG0876	unannotated protein
VOG0877	single strand DNA binding protein
VOG0878	unannotated protein
VOG0879	head scaffolding protein
VOG0880	head fiber protein
VOG0885	GP16.7-like replication protein
VOG0886	hypothetical protein
VOG0887	terminase small subunit
VOG0888	head-tail connector protein
VOG0889	virion structural protein
VOG0890	virion structural protein
VOG0893	tail associated lysin
VOG0894	hypothetical protein
VOG0897	hypothetical protein
VOG0900	hypothetical protein
VOG0901	hypothetical protein
VOG0902	hypothetical protein
VOG0903	hypothetical protein
VOG0904	hypothetical protein
VOG0905	hypothetical protein
VOG0906	Sak-like ssDNA annealing protein
VOG0907	hypothetical protein
VOG0908	hypothetical protein
VOG0909	hypothetical protein
VOG0910	hypothetical protein
VOG0911	hypothetical protein
VOG0913	virion structural protein
VOG0914	tail protein
VOG0917	hypothetical protein
VOG0918	RecJ-like ssDNA exonuclease
VOG0919	DNA methyltransferase
VOG0920	hypothetical protein
VOG0921	hypothetical protein
VOG0922	hypothetical protein
VOG0924	hypothetical protein
VOG0925	hypothetical protein
VOG0926	hypothetical protein
VOG0927	hypothetical protein
VOG0930	virion structural protein
VOG0933	neck passage structure
VOG0935	hypothetical protein
VOG0936	virion structural protein
VOG0937	hypothetical protein
VOG0938	hypothetical protein
VOG0939	hypothetical protein
VOG0941	hypothetical protein
VOG0942	hypothetical protein
VOG0943	unannotated protein
VOG0944	unannotated protein
VOG0945	unannotated protein
VOG0946	Shiga toxin subunit A
VOG0947	Shiga toxin subunit B
VOG0952	hypothetical protein
VOG0953	unannotated protein
VOG0955	hypothetical protein
VOG0968	tail fiber protein
VOG0972	hypothetical protein
VOG0975	terminase small subunit
VOG0976	unannotated protein
VOG0977	hypothetical protein
VOG0979	Reverse transcriptase
VOG0980	hypothetical protein
VOG0981	hypothetical protein
VOG0982	exonuclease
VOG0984	hypothetical protein
VOG0985	ParA-like partition protein
VOG0986	hypothetical protein
VOG0988	CII-like transcriptional activator
VOG0989	Lar-like restriction alleviation protein
VOG0991	hypothetical protein
VOG0992	endolysin
VOG0994	hypothetical protein
VOG0996	clamp loader of DNA polymerase
VOG0997	unannotated protein
VOG0998	QueE-like radical SAM domain protein
VOG0999	hypothetical protein
VOG10000	hypothetical protein
VOG10001	hypothetical protein
VOG10002	hypothetical protein
VOG10003	hypothetical protein
VOG10004	hypothetical protein
VOG10005	anti-restriction protein
VOG10006	hypothetical protein
VOG10007	hypothetical protein
VOG10008	unannotated protein
VOG10009	virion structural protein
VOG1001	portal protein
VOG10010	virion structural protein
VOG10011	tail fiber protein
VOG10012	hypothetical protein
VOG10013	hypothetical protein
VOG10014	DNA binding protein
VOG10015	hypothetical protein
VOG10016	virion structural protein
VOG10017	hypothetical protein
VOG10018	hypothetical protein
VOG10019	hypothetical protein
VOG10020	hypothetical protein
VOG10021	unannotated protein
VOG10022	tail fiber protein
VOG10023	hypothetical protein
VOG10024	hypothetical protein
VOG10025	head-tail connector protein
VOG10026	ATPase
VOG10027	virion structural protein
VOG10028	CRISPR/Cas system associated
VOG10029	tail sheath
VOG10030	Holliday junction resolvase
VOG10031	single strand DNA binding protein
VOG10032	RNA polymerase sigma factor
VOG10033	peptidase
VOG10034	hypothetical protein
VOG10035	hypothetical protein
VOG10036	hypothetical protein
VOG10037	hypothetical protein
VOG10038	protease
VOG10039	unannotated protein
VOG1004	membrane protein
VOG10040	unannotated protein
VOG10041	unannotated protein
VOG10042	hypothetical protein
VOG10043	hypothetical protein
VOG10044	unannotated protein
VOG10045	hypothetical protein
VOG10046	hypothetical protein
VOG10047	hypothetical protein
VOG10048	Holliday junction resolvase
VOG10049	hypothetical protein
VOG1005	tail tube
VOG10050	pyrophosphatase
VOG10051	unannotated protein
VOG10052	hypothetical protein
VOG10053	hypothetical protein
VOG10054	hypothetical protein
VOG10055	hypothetical protein
VOG10056	hypothetical protein
VOG10057	hypothetical protein
VOG10058	hypothetical protein
VOG10059	anti-repressor
VOG1006	late sigma transcription factor
VOG10060	hypothetical protein
VOG10061	hypothetical protein
VOG10062	unannotated protein
VOG10063	hypothetical protein
VOG10064	unannotated protein
VOG10065	unannotated protein
VOG10066	hypothetical protein
VOG10067	hypothetical protein
VOG10068	hypothetical protein
VOG10069	virion structural protein
VOG10070	hypothetical protein
VOG10071	hypothetical protein
VOG10072	hypothetical protein
VOG10073	hypothetical protein
VOG10074	hypothetical protein
VOG10075	hypothetical protein
VOG10076	hypothetical protein
VOG10077	hypothetical protein
VOG10078	hypothetical protein
VOG10079	hypothetical protein
VOG10080	phosphodiesterase
VOG10081	hypothetical protein
VOG10082	major tail protein
VOG10083	tail protein
VOG10084	hypothetical protein
VOG10085	hypothetical protein
VOG10086	baseplate wedge subunit
VOG10087	hypothetical protein
VOG10088	DNA primase
VOG10089	hypothetical protein
VOG10090	hypothetical protein
VOG10091	hypothetical protein
VOG10092	hypothetical protein
VOG10093	hypothetical protein
VOG10094	hypothetical protein
VOG10095	Multidrug transporter EmrE
VOG10096	hypothetical protein
VOG10097	hypothetical protein
VOG10098	hypothetical protein
VOG10099	hypothetical protein
VOG10100	hypothetical protein
VOG10101	hypothetical protein
VOG10102	hypothetical protein
VOG10103	hypothetical protein
VOG10104	hypothetical protein
VOG10105	hypothetical protein
VOG10106	ribonucleoside-diphosphate reductase beta subunit
VOG10107	hypothetical protein
VOG10108	hypothetical protein
VOG10109	hypothetical protein
VOG10110	hypothetical protein
VOG10111	hypothetical protein
VOG10112	hypothetical protein
VOG10113	hypothetical protein
VOG10114	hypothetical protein
VOG10115	hypothetical protein
VOG10116	hypothetical protein
VOG10117	hypothetical protein
VOG10118	hypothetical protein
VOG10119	hypothetical protein
VOG1012	hypothetical protein
VOG10120	hypothetical protein
VOG10121	hypothetical protein
VOG10122	hypothetical protein
VOG10123	hypothetical protein
VOG10124	hypothetical protein
VOG10125	hypothetical protein
VOG10126	hypothetical protein
VOG10127	hypothetical protein
VOG10128	hypothetical protein
VOG10129	hypothetical protein
VOG1013	partition protein
VOG10130	hypothetical protein
VOG10131	hypothetical protein
VOG10132	hypothetical protein
VOG10133	hypothetical protein
VOG10134	hypothetical protein
VOG10135	hypothetical protein
VOG10136	hypothetical protein
VOG10137	hypothetical protein
VOG10138	hypothetical protein
VOG10139	hypothetical protein
VOG1014	hypothetical protein
VOG10140	hypothetical protein
VOG10141	hypothetical protein
VOG10142	hypothetical protein
VOG10143	hypothetical protein
VOG10144	hypothetical protein
VOG10145	hypothetical protein
VOG10146	hypothetical protein
VOG10147	hypothetical protein
VOG10148	hypothetical protein
VOG10149	hypothetical protein
VOG10150	hypothetical protein
VOG10151	hypothetical protein
VOG10152	hypothetical protein
VOG10153	hypothetical protein
VOG10154	hypothetical protein
VOG10155	Very short patch repair protein
VOG10156	hypothetical protein
VOG10157	hypothetical protein
VOG10158	hypothetical protein
VOG10159	hypothetical protein
VOG10160	hypothetical protein
VOG10161	hypothetical protein
VOG10162	hypothetical protein
VOG10163	hypothetical protein
VOG10164	hypothetical protein
VOG10165	hypothetical protein
VOG10166	hypothetical protein
VOG10167	hypothetical protein
VOG10168	hypothetical protein
VOG10169	hypothetical protein
VOG1017	hypothetical protein
VOG10170	hypothetical protein
VOG10171	hypothetical protein
VOG10172	hypothetical protein
VOG10173	hypothetical protein
VOG10174	hypothetical protein
VOG10175	hypothetical protein
VOG10176	hypothetical protein
VOG10177	hypothetical protein
VOG10178	hypothetical protein
VOG10179	lipoprotein
VOG10180	hypothetical protein
VOG10181	hypothetical protein
VOG10182	hypothetical protein
VOG10183	hypothetical protein
VOG10184	membrane protein
VOG10185	hypothetical protein
VOG10186	hypothetical protein
VOG10187	hypothetical protein
VOG10188	hypothetical protein
VOG10189	hypothetical protein
VOG1019	Rz-like spanin
VOG10190	head closure Hc1
VOG10191	head-tail connector protein
VOG10192	virion structural protein
VOG10193	hypothetical protein
VOG10194	hypothetical protein
VOG10195	unannotated protein
VOG10196	thioredoxin domain protein
VOG10197	hypothetical protein
VOG10198	hypothetical protein
VOG10199	membrane protein
VOG1020	QueC-like queuosine biosynthesis
VOG10200	hypothetical protein
VOG10201	hypothetical protein
VOG10202	membrane protein
VOG10203	hypothetical protein
VOG10204	hypothetical protein
VOG10205	hypothetical protein
VOG10206	hypothetical protein
VOG10207	hypothetical protein
VOG10208	hypothetical protein
VOG10209	hypothetical protein
VOG1021	hypothetical protein
VOG10210	hypothetical protein
VOG10211	hypothetical protein
VOG10212	hypothetical protein
VOG10213	hypothetical protein
VOG10214	hypothetical protein
VOG10215	HNH endonuclease
VOG10216	hypothetical protein
VOG10217	hydrolase
VOG10218	unannotated protein
VOG10219	hypothetical protein
VOG10220	hypothetical protein
VOG10221	hypothetical protein
VOG10222	hypothetical protein
VOG10223	tail protein
VOG10224	Putative septation protein SpoVG
VOG10225	hypothetical protein
VOG10226	hypothetical protein
VOG10227	terminase large subunit
VOG10228	hypothetical protein
VOG10229	hypothetical protein
VOG10230	endolysin
VOG10231	hypothetical protein
VOG10232	transcriptional regulator
VOG10233	hypothetical protein
VOG10234	hypothetical protein
VOG10235	hypothetical protein
VOG10236	hypothetical protein
VOG10237	hypothetical protein
VOG10238	hypothetical protein
VOG10239	hypothetical protein
VOG1024	tail fiber protein
VOG10240	hypothetical protein
VOG10241	hypothetical protein
VOG10242	hypothetical protein
VOG10243	hypothetical protein
VOG10244	hypothetical protein
VOG10245	hypothetical protein
VOG10246	hypothetical protein
VOG10247	hypothetical protein
VOG10248	endonuclease
VOG10249	hypothetical protein
VOG1025	hypothetical protein
VOG10250	hypothetical protein
VOG10251	hypothetical protein
VOG10252	hypothetical protein
VOG10253	hypothetical protein
VOG10254	hypothetical protein
VOG10255	hypothetical protein
VOG10256	hypothetical protein
VOG10257	hypothetical protein
VOG10258	hypothetical protein
VOG10259	membrane protein
VOG1026	IS200/IS605 family transposase IS1136
VOG10260	hypothetical protein
VOG10261	hypothetical protein
VOG10262	unannotated protein
VOG10263	hypothetical protein
VOG10264	tail fiber protein
VOG10265	hypothetical protein
VOG10266	hypothetical protein
VOG10267	hypothetical protein
VOG10268	unannotated protein
VOG10269	unannotated protein
VOG1027	unannotated protein
VOG10270	hypothetical protein
VOG10271	hypothetical protein
VOG10272	hypothetical protein
VOG10273	unannotated protein
VOG10274	hypothetical protein
VOG10275	hypothetical protein
VOG10276	hypothetical protein
VOG10277	tail sheath
