ID	FragGeneScan_gsB_3841	FragGeneScan_GIC31_complete	FragGeneScan_gsE_BIHB1217	FragGeneScan_RW2_complete	FragGeneScan_gsC_SM41	FragGeneScan_S17	FragGeneScan_JQGI01_HUD	FragGeneScan_SH31	FragGeneScan_gsD_SM51	FragGeneScan_gsA_SM152B
K00264	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00265	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00266	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00274	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00276	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
K00278	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00281	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00282	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00283	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00285	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00286	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00301	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
K00302	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00303	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00304	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00305	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00318	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00320	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
K00330	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00331	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
K00332	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
K00333	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
K00355	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00362	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00364	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00372	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
K00374	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K00380	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
K00381	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00382	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00383	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00384	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00387	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
K00390	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00428	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00432	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00435	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00446	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00448	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00449	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
