ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
K00001	-1.0534821500848783	-0.03264380845011497	-0.003575550103059866	-0.0038976859131717783	-0.012585790119652253	0.0021470717428766955	-7.363749333239058e-05	-0.0030078332899917265	-0.004561941025185336	-1.0894130390456632e-15
K00003	-1.0534821500848799	-0.03264380845011514	-0.0035755501030614112	-0.003897685913168691	-0.012585790119649777	0.0021470717428758767	-7.363749333004012e-05	-0.0030078332899910634	-0.004561941025186722	1.7419142366375232e-15
K00004	-0.43258239856934455	-0.2003808796260586	0.4669112669611136	-0.06516457575304119	0.6350508031578362	0.0038237642200095135	0.48071723665198945	-0.011697305906328316	-0.1644642731630495	-9.063856340328852e-15
K00012	-4.740321961964967e-15	-7.900503974558165e-16	-1.6471710441986464e-15	-2.2357550390110323e-15	9.878450721555029e-15	-3.893441733480931e-15	-8.945792713014445e-16	6.201382434692012e-16	-1.1003831143992544e-15	5.4171850178629254e-15
K00013	-6.176170496398165e-15	-6.450801238314607e-16	-2.6241990914110226e-15	-1.382853473639554e-15	6.143511796534969e-15	5.452186176768644e-15	1.0332912326157334e-15	1.0893632318719167e-14	-9.788373827590411e-15	6.199980134427579e-15
K00014	5.022816664750182e-16	-7.133014125283632e-16	9.553882407193461e-17	-1.0625349685441728e-15	-1.096840609290526e-15	1.7654439813931726e-15	1.9697394998007464e-15	-6.014010190919635e-17	-3.834380499022501e-16	1.1874546441193468e-15
K00016	1.0534821500848741	0.03264380845011512	0.003575550103058515	0.003897685913169358	0.012585790119671996	-0.0021470717428949066	7.363749333005716e-05	0.0030078332899808207	0.0045619410251928946	5.355601639929941e-15
K00020	5.996900829327176e-15	3.8584149195966262e-16	3.196470398506426e-15	2.213163554821924e-15	-1.182786986646e-14	7.841661770514397e-15	9.56351685254686e-16	7.451363955637157e-15	-5.223494108997161e-15	-5.865929481871911e-15
K00023	-1.053482150084881	-0.032643808450115476	-0.0035755501030602234	-0.003897685913170919	-0.012585790119650487	0.0021470717428782853	-7.3637493331284e-05	-0.003007833289986881	-0.004561941025189677	9.715888726311762e-16
K00024	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0
K00031	-1.05348215008488	-0.03264380845011537	-0.0035755501030598513	-0.003897685913170742	-0.012585790119651375	0.002147071742877161	-7.363749333150087e-05	-0.0030078332899891006	-0.004561941025187715	7.385437521728257e-18
K00033	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0
K00035	-1.05348215008488	-0.03264380845011537	-0.0035755501030598513	-0.003897685913170742	-0.012585790119651375	0.002147071742877161	-7.363749333150087e-05	-0.0030078332899891006	-0.004561941025187715	7.385437521728257e-18
K00036	-0.878803096946722	0.5762870071601337	0.014532944227011346	-0.07916537747956783	0.0022287798377244	0.012669815923469918	-0.00012256274513587945	0.008046871273048907	0.0009439136542422091	4.250614655289584e-17
K00039	-1.05348215008488	-0.03264380845011537	-0.0035755501030598513	-0.003897685913170742	-0.012585790119651375	0.002147071742877161	-7.363749333150087e-05	-0.0030078332899891006	-0.004561941025187715	7.385437521728257e-18
K00040	-1.05348215008488	-0.03264380845011537	-0.0035755501030598513	-0.003897685913170742	-0.012585790119651375	0.002147071742877161	-7.363749333150087e-05	-0.0030078332899891006	-0.004561941025187715	7.385437521728257e-18
K00043	-1.05348215008488	-0.03264380845011537	-0.0035755501030598513	-0.003897685913170742	-0.012585790119651375	0.002147071742877161	-7.363749333150087e-05	-0.0030078332899891006	-0.004561941025187715	7.385437521728257e-18
K00052	-1.05348215008488	-0.03264380845011537	-0.0035755501030598513	-0.003897685913170742	-0.012585790119651375	0.002147071742877161	-7.363749333150087e-05	-0.0030078332899891006	-0.004561941025187715	7.385437521728257e-18
