>NZ_ASHR01000014.1
1	465	+	1	1.139045	I:	D:
544	975	+	1	1.178199	I:	D:
1056	1745	+	3	1.194839	I:	D:
2220	3836	+	3	1.160335	I:	D:
3945	4949	+	3	1.140412	I:	D:
4946	5884	+	2	1.119595	I:	D:
6133	7779	-	1	1.163073	I:	D:
7816	8769	-	1	1.116102	I:	D:
8862	9578	+	3	1.121122	I:	D:
9583	10326	-	1	1.127536	I:	D:
10343	10939	-	2	1.153253	I:	D:
11004	11993	+	3	1.118412	I:	D:
12077	12829	+	2	1.143023	I:	D:
12846	14357	+	3	1.141294	I:	D:
14548	15066	+	1	1.188047	I:	D:
15100	15489	+	1	1.187022	I:	D:
15771	16529	-	3	1.188789	I:	D:
16522	18375	+	1	1.140533	I:	D:
18509	18886	-	2	1.173021	I:	D:
18968	20194	+	2	1.145833	I:	D:
20246	21781	+	2	1.149412	I:	D:
21785	23053	+	2	1.145808	I:	D:
23087	24196	+	2	1.133411	I:	D:
24259	25680	+	1	1.138227	I:	D:
25682	26848	+	2	1.158170	I:	D:
26953	28320	-	1	1.140429	I:	D:
28407	28850	+	3	1.151244	I:	D:
28865	29458	-	2	1.169836	I:	D:
29582	30799	+	2	1.133634	I:	D:
30820	32016	+	1	1.152917	I:	D:
32063	33763	+	2	1.140147	I:	D:
33826	35400	+	1	1.168677	I:	D:
35810	36574	+	2	1.344910	I:	D:
36837	37802	-	3	1.126971	I:	D:
37799	38215	-	2	1.210794	I:	D:
38491	42429	-	1	1.182392	I:	D:
42573	44693	+	3	1.149669	I:	D:
44690	45880	+	2	1.122778	I:	D:
46043	46996	-	2	1.158779	I:	D:
46404	49301	+	3	1.194490	I:	D:
49305	49904	+	3	1.134218	I:	D:
49972	51246	+	1	1.156839	I:	D:
51243	52319	+	3	1.126364	I:	D:
52352	52720	-	2	1.139249	I:	D:
52866	54344	+	3	1.158570	I:	D:
54355	54975	+	1	1.141393	I:	D:
54702	55586	+	3	1.151316	I:	D:
55980	56882	-	3	1.169068	I:	D:
56914	59478	-	1	1.175172	I:	D:
59693	60151	+	2	1.102460	I:	D:
60362	62305	-	2	1.167923	I:	D:
62015	63592	+	2	1.129982	I:	D:
63589	64419	+	1	1.098823	I:	D:
64472	64600	+	2	1.198214	I:	D:
64693	64866	+	1	1.146868	I:	D:
64931	65176	+	2	1.147624	I:	D:
65332	65637	+	1	1.166181	I:	D:
65719	68421	+	1	1.165289	I:	D:
68418	69050	+	3	1.094406	I:	D:
69070	70230	+	1	1.131080	I:	D:
70253	70678	-	2	1.184193	I:	D:
70848	72419	+	3	1.151331	I:	D:
72567	74270	+	3	1.191295	I:	D:
74293	76710	-	1	1.170171	I:	D:
77173	77517	+	1	1.296957	I:	D:
77694	78482	+	3	1.283324	I:	D:
78479	79006	+	2	1.244449	I:	D:
79224	80669	+	3	1.238472	I:	D:
80714	81373	+	2	1.216672	I:	D:
81465	82814	+	3	1.241147	I:	D:
82967	83356	+	2	1.271099	I:	D:
83414	83629	-	2	1.305026	I:	D:
84257	84700	+	2	1.216290	I:	D:
84835	85680	+	1	1.192446	I:	D:
86176	87042	-	1	1.212717	I:	D:
87120	87440	-	3	1.241035	I:	D:
87486	87905	-	3	1.259895	I:	D:
87902	88252	-	2	1.247938	I:	D:
88252	88461	-	1	1.297423	I:	D:
88763	89062	-	2	1.283148	I:	D:
89059	90438	-	1	1.343772	I:	D:
90688	91470	-	1	1.238484	I:	D:
91546	92118	+	1	1.150893	I:	D:
92227	94437	+	1	1.136256	I:	D:
94512	95177	+	3	1.118584	I:	D:
95174	96073	+	2	1.185321	I:	D:
96070	96489	+	1	1.149060	I:	D:
96498	97295	+	3	1.168540	I:	D:
97292	98527	+	2	1.191844	I:	D:
98538	100010	+	3	1.145226	I:	D:
100155	101480	+	3	1.148740	I:	D:
101503	102426	+	1	1.173724	I:	D:
102476	103501	-	2	1.132933	I:	D:
103515	105302	-	3	1.119634	I:	D:
105331	105534	-	1	1.213674	I:	D:
105718	106644	+	1	1.152795	I:	D:
106653	107498	+	3	1.142924	I:	D:
107495	108319	+	2	1.174732	I:	D:
108351	109289	+	3	1.114521	I:	D:
109289	110044	+	2	1.108304	I:	D:
110048	111943	-	2	1.128088	I:	D:
112059	113414	-	3	1.161437	I:	D:
113574	114056	-	3	1.115740	I:	D:
114056	115321	-	2	1.141210	I:	D:
115318	115944	-	1	1.160518	I:	D:
115944	116975	-	3	1.128651	I:	D:
117311	117886	-	2	1.140742	I:	D:
117883	118878	-	1	1.169195	I:	D:
118902	119732	-	3	1.158416	I:	D:
119793	121040	-	3	1.143729	I:	D:
120814	122472	+	1	1.132209	I:	D:
122476	124113	-	1	1.109946	I:	D:
124110	126053	-	3	1.117171	I:	D:
126085	126906	-	1	1.121963	I:	D:
127003	127965	-	1	1.185433	I:	D:
127965	129752	-	3	1.167291	I:	D:
129780	130232	-	3	1.167221	I:	D:
130232	130669	-	2	1.219287	I:	D:
130801	131988	-	1	1.152252	I:	D:
132051	133163	+	3	1.126453	I:	D:
133343	134416	+	2	1.142662	I:	D:
134550	135650	+	3	1.151926	I:	D:
135770	137329	+	2	1.130628	I:	D:
137326	138732	+	1	1.138286	I:	D:
138729	140057	+	3	1.129264	I:	D:
140064	140489	+	3	1.175329	I:	D:
140482	141771	+	1	1.112862	I:	D:
141924	142259	+	3	1.157198	I:	D:
142351	143457	+	1	1.136842	I:	D:
143454	143891	+	3	1.135015	I:	D:
143958	145625	-	3	1.113947	I:	D:
145622	146452	-	2	1.145715	I:	D:
146495	147034	+	2	1.134194	I:	D:
147066	148523	+	3	1.142231	I:	D:
148555	151206	-	1	1.138536	I:	D:
150460	151269	+	1	1.132837	I:	D:
151330	151938	+	1	1.135138	I:	D:
151942	153666	+	1	1.138364	I:	D:
153668	155722	+	2	1.149460	I:	D:
155727	156440	-	3	1.117586	I:	D:
156553	157185	-	1	1.132659	I:	D:
157280	158230	+	2	1.123430	I:	D:
158266	159528	+	1	1.137389	I:	D:
159786	160238	+	3	1.165040	I:	D:
160239	161378	-	3	1.112501	I:	D:
161413	162375	-	1	1.143470	I:	D:
162494	164602	+	2	1.152472	I:	D:
164610	164807	-	3	1.186468	I:	D:
164804	166405	-	2	1.171850	I:	D:
166522	167247	+	1	1.117452	I:	D:
167247	167747	+	3	1.127231	I:	D:
167778	169091	+	3	1.129687	I:	D:
169088	170209	+	2	1.128056	I:	D:
170270	170800	+	2	1.127165	I:	D:
170797	172173	+	1	1.133063	I:	D:
172190	173137	-	2	1.121765	I:	D:
173146	174246	-	1	1.144608	I:	D:
174379	175752	-	1	1.150552	I:	D:
175853	178780	+	2	1.224938	I:	D:
178822	179697	+	1	1.150868	I:	D:
179705	180598	-	2	1.120971	I:	D:
180634	181851	-	1	1.172896	I:	D:
181851	182765	-	3	1.174184	I:	D:
182957	185317	+	2	1.196668	I:	D:
185314	186639	+	1	1.165767	I:	D:
186643	188772	-	1	1.144302	I:	D:
188774	190918	-	2	1.164702	I:	D:
190971	191804	-	3	1.156923	I:	D:
191805	193025	-	3	1.139819	I:	D:
193148	193864	+	2	1.172603	I:	D:
193874	194248	+	2	1.134045	I:	D:
194291	194746	-	2	1.307973	I:	D:
194861	195016	-	2	1.252422	I:	D:
195058	196236	-	1	1.157923	I:	D:
