ID	count
COG0005	1
COG0008	1
COG0026	1
COG0028	1
COG0031	1
COG0039	1
COG0041	1
COG0054	1
COG0059	1
COG0080	1
COG0081	1
COG0111	1
COG0115	1
COG0124	1
COG0125	1
COG0129	1
COG0136	1
COG0148	1
COG0179	1
COG0180	1
COG0193	1
COG0213	1
COG0222	1
COG0244	1
COG0250	1
COG0251	1
COG0277	1
COG0282	1
COG0295	1
COG0307	1
COG0340	1
COG0353	1
COG0362	1
COG0365	1
COG0388	1
COG0424	1
COG0433	1
COG0436	1
COG0440	1
COG0462	1
COG0473	1
COG0477	1
COG0479	1
COG0491	1
COG0492	1
COG0496	1
COG0499	1
COG0524	1
COG0526	1
COG0527	1
COG0531	1
COG0579	1
COG0591	1
COG0599	1
COG0601	1
COG0626	1
COG0628	1
COG0654	1
COG0665	1
COG0708	1
COG0744	1
COG0747	1
COG0782	1
COG0785	1
COG0789	1
COG0798	1
COG0807	1
COG0836	1
COG0842	1
COG0857	1
COG1004	1
COG1012	1
COG1053	1
COG1063	1
COG1064	1
COG1079	1
COG1080	1
COG1082	1
COG1088	1
COG1091	1
COG1105	1
COG1109	1
COG1123	1
COG1129	1
COG1131	1
COG1132	1
COG1134	1
COG1171	1
COG1173	1
COG1197	1
COG1207	1
COG1209	1
COG1216	1
COG1228	1
COG1249	1
COG1252	1
COG1261	1
COG1295	1
COG1316	1
COG1335	1
COG1403	1
COG1408	1
COG1413	1
COG1435	1
COG1482	1
COG1507	1
COG1511	1
COG1670	1
COG1682	1
COG1704	1
COG1744	1
COG1754	1
COG1762	1
COG1802	1
COG1816	1
COG1825	1
COG1835	1
COG1846	1
COG1940	1
COG1959	1
COG1985	1
COG2009	1
COG2064	1
COG2070	1
COG2077	1
COG2084	1
COG2120	1
COG2141	1
COG2142	1
COG2216	1
COG2244	1
COG2247	1
COG2265	1
COG2267	1
COG2271	1
COG2318	1
COG2334	1
COG2409	1
COG2456	1
COG2514	1
COG2610	1
COG2771	1
COG2801	1
COG2812	1
COG2919	1
COG2963	1
COG3214	1
COG3226	1
COG3265	1
COG3307	1
COG3311	1
COG3324	1
COG3428	1
COG3569	1
COG3596	1
COG3616	1
COG3695	1
COG3706	1
COG3754	1
COG3759	1
COG3832	1
COG3836	1
COG3845	1
COG3920	1
COG3956	1
COG3957	1
COG3971	1
COG4118	1
COG4213	1
COG4214	1
COG4221	1
COG4251	1
COG4270	1
COG4427	1
COG4549	1
COG4603	1
COG4641	1
COG4681	1
COG4770	1
COG4799	1
COG4935	1
COG4962	1
COG4963	1
COG4965	1
COG4973	1
COG5002	1
COG5274	1
COG5350	1
COG5377	1
COG5921	1
