Name	Count
20_Hydrolysis of polymers	15
01_Fermentation	15
06_Amino acid utilization biosynthesis metabolism	61
21_Cellular response to stress	22
10_TCA cycle	12
08_Hydrocarbon degradation	4
07_Nucleic acid metabolism	19
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	1
14_Methanogenesis	3
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
09_Carbohydrate Active enzyme - CAZy	4
05_Fatty acid oxidation	4
15_Methylotrophy	1
16_Embden Meyerhof-Parnos (EMP)	4
17_Gluconeogenesis	1
12_Transporters	19
19_Saccharide and derivated synthesis	25
02_Homoacetogenesis	2
18_Sulfur compounds metabolism	1
