ID	count
K00001	1
K00003	1
K00004	1
K00008	1
K00010	1
K00012	1
K00013	1
K00014	1
K00015	1
K00019	1
K00020	1
K00023	1
K00024	1
K00027	1
K00031	1
K00033	1
K00034	1
K00035	1
K00036	1
K00038	1
K00039	1
K00040	1
K00042	1
K00043	1
K00045	1
K00046	1
K00052	1
K00053	1
K00055	1
K00057	1
K00058	1
K00059	1
K00060	1
K00064	1
K00065	1
K00067	1
K00073	1
K00074	1
K00075	1
K00077	1
K00087	1
K00088	1
K00096	1
K00097	1
K00098	1
K00099	1
K00101	1
K00102	1
K00104	1
K00108	1
K00111	1
K00113	1
K00117	1
K00118	1
K00121	1
K00123	1
K00126	1
K00127	1
K00128	1
K00130	1
K00131	1
K00133	1
K00134	1
K00135	1
K00137	1
K00138	1
K00140	1
K00145	1
K00147	1
K00148	1
K00154	1
K00161	1
K00162	1
K00164	1
K00166	1
K00167	1
K00208	1
K00215	1
K00217	1
K00220	1
K00228	1
K00234	1
K00235	1
K00236	1
K00239	1
K00242	1
K00248	1
K00249	1
K00252	1
K00253	1
K00259	1
K00265	1
K00266	1
K00274	1
K00275	1
K00276	1
K00278	1
K00281	1
K00285	1
K00286	1
K00287	1
K00297	1
K00299	1
K00301	1
K00302	1
K00303	1
K00304	1
K00305	1
K00309	1
K00310	1
K00311	1
K00313	1
K00320	1
K00322	1
K00323	1
K00324	1
K00325	1
K00330	1
K00331	1
K00332	1
K00333	1
K00334	1
K00335	1
K00336	1
K00337	1
K00338	1
K00339	1
K00340	1
K00341	1
K00342	1
K00343	1
K00344	1
K00354	1
K00355	1
K00362	1
K00372	1
K00375	1
K00381	1
K00382	1
K00383	1
K00384	1
K00387	1
K00390	1
K00404	1
K00405	1
K00406	1
K00407	1
K00410	1
K00411	1
K00413	1
K00425	1
K00426	1
K00428	1
K00432	1
K00433	1
K00446	1
K00448	1
K00449	1
K00451	1
K00457	1
K00459	1
K00477	1
K00479	1
K00481	1
K00500	1
K00525	1
K00526	1
K00529	1
K00537	1
K00545	1
K00547	1
K00548	1
K00554	1
K00558	1
K00560	1
K00564	1
K00566	1
K00567	1
K00568	1
K00570	1
K00573	1
K00574	1
K00575	1
K00587	1
K00588	1
K00595	1
K00598	1
K00600	1
K00602	1
K00604	1
K00605	1
K00606	1
K00609	1
K00611	1
K00615	1
K00616	1
K00619	1
K00620	1
K00625	1
K00626	1
K00627	1
K00632	1
K00633	1
K00639	1
K00640	1
K00641	1
K00643	1
K00645	1
K00648	1
K00651	1
K00652	1
K00655	1
K00657	1
K00658	1
K00661	1
K00666	1
K00677	1
K00681	1
K00684	1
K00688	1
K00694	1
K00697	1
K00700	1
K00703	1
K00705	1
K00721	1
K00748	1
K00750	1
K00758	1
K00759	1
K00760	1
K00761	1
K00762	1
